; Extreme heat/cold:;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Fire protective gear:;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Rotating equipment:;Safety-Sensitive:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
10;;;An undergraduate degree in a health and safety related discipline (i.e. OHS, Industrial Hygiene) or an equivalent level of experience and formal training;;An undergraduate degree in a health and safety related discipline (i.e. OHS, Industrial Hygiene) or an equivalent level of experience and formal training;Professional designation in an applicable discipline would be an asset or a willingness/ability to work towards a designation$$$%%%&&&Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership$$$%%%&&&Occupational Health & Safety Certification;Professional designation in an applicable discipline would be an asset or a willingness/ability to work towards a designation$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership$$$%%%&&&Occupational Health & Safety Certification;Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training;;;;; 27-Jun-12;Health & Safety;;Exposure to business processes, operations, and safety systems within the petroleum industry;;Exposure to business processes, operations, and safety systems within the petroleum industry;Knowledge, experience and accreditation in HSE/Operational Integrity management system auditing;Knowledge, experience and accreditation in HSE/Operational Integrity management system auditing;;;;;;;;;;;;;;;;;;In this role you will coordinate the internal Auditing, Management Review and Continuous Improvement processes for the Husky Operational Integrity Management System (HOIMS) program. You will also be expected to provide support to business units as they develop action plans to comply with the requirements of the HOIMS program.The HOIMS program encompasses many aspects including occupational health and safety as well as process safety, environment and asset integrity. Traditionally Husky had focused on auditing HSE management systems and in this new role a key deliverable will be to expand the program evaluation process to include all aspects of the HOIMS program.;;HOIMS Audit Coordinator;;;Manager, Process & Occupational Safety;;<Click to select>;;;;;;Intermediate level PC skills, including Microsoft Office Professional software$$$%%%&&&Experience using management system audit software$$$%%%&&&Highly-developed communication, leadership, facilitation and coaching skills including the ability to present to large groups$$$%%%&&&Superior organizational skills combined with a tedious attention to detail;Experience using management system audit software;Intermediate level PC skills, including Microsoft Office Professional software$$$%%%&&&Highly-developed communication, leadership, facilitation and coaching skills including the ability to present to large groups$$$%%%&&&Superior organizational skills combined with a tedious attention to detail;;;;Frequently;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Interacting with the business units and corporate leadership teams to ensure HOIMS evaluation process support from all levels of the organization$$$%%%&&&Leading/overseeing HOIMS program audit process$$$%%%&&&Coordinate internal and external audit team support requirements$$$%%%&&&Ensure adequate communication of the audit, management review and continuous improvement impacts to operational and corporate group management teams$$$%%%&&&Coordinate internal and external training requirements to support process requirements Mentoring and coaching operational personnel in the evaluation, management review and continuous improvement of the elements of the HOIMS program$$$%%%&&&Collaborate with all corporate HOIMS Process Stewards to ensure HOIMS program processes are measured and reported$$$%%%&&&Evaluate the HOIMS auditing process and provide improvement guidance$$$%%%&&&Participation with industry committees as applicable to aid in the evaluation of the HOIMS program$$$%%%&&&Participating in HOIMS initiatives as required
11;;;A post-secondary degree in a health and safety related discipline (i.e. OHS, or an equivalent level of experience and formal training;;A post-secondary degree in a health and safety related discipline (i.e. OHS, or an equivalent level of experience and formal training;Professional safety designation would be an asset (i.e. Canadian Registered Safety Professional, Canadian Health & Safety Consultant) or a willingness/ability to work towards a designation within the short term$$$%%%&&&A valid EMR or greater qualification would be an asset$$$%%%&&&Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership would be an asset$$$%%%&&&Occupational Health and Safety Certification would be an asset;A valid EMR or greater qualification would be an asset$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership would be an asset$$$%%%&&&Occupational Health and Safety Certification would be an asset;Professional safety designation would be an asset (i.e. Canadian Registered Safety Professional, Canadian Health & Safety Consultant) or a willingness/ability to work towards a designation within the short term$$$%%%&&&Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training;;;;; 21-Jun-12;HS&E - Health and Safety;;Exposure to business processes and safety systems within the petroleum industry Previous operational experience in the Oil and Gas industry is also an asset;Exposure to business processes and safety systems within the petroleum industry Previous operational experience in the Oil and Gas industry is also an asset;;Experience with applying safety program expectations with a large contractor workforce;;Experience with applying safety program expectations with a large contractor workforce;;;;;;;Calgary;;;;;;;;;;In this position you will provide support for the development and implementation of Health and Safety Management processes. You will focus principally on providing this support to internal Business Unit clients within the Operations group.;;Safety Advisor;;;;;<Click to select>;;;;;;Intermediate level PC skills, including Microsoft Office Professional software.$$$%%%&&&Experience using TapRoot software would be a definite asset;Experience using TapRoot software would be a definite asset;Intermediate level PC skills, including Microsoft Office Professional software.;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Interacting with the business units and corporate leadership teams to ensure program support from all levels of the organization$$$%%%&&&Leading/overseeing Health and Safety Management system development requiring corporate involvement$$$%%%&&&Mentoring and coaching business unit personnel in the application of Health and Safety Management systems$$$%%%&&&Developing, implementing, and maintaining area or site specific Health and Safety systems to protect workers and the general public$$$%%%&&&Providing knowledge and support to front line supervisors and workers to enable them to carry out their work safely$$$%%%&&&Developing and maintaining general Health and Safety knowledge to assist in routine Health and Safety tasks$$$%%%&&&Acting as a liaison with Health and Safety regulators on a local and corporate basis$$$%%%&&&Maintaining and updating existing reporting information systems$$$%%%&&&Participating in Husky Operational Integrity Management System (HOIMS) initiatives as required
12;;;A post-secondary degree in a health and safety related discipline (i.e. OHS, or an equivalent level of experience and formal training;;A post-secondary degree in a health and safety related discipline (i.e. OHS, or an equivalent level of experience and formal training;Professional safety designation would be an asset (i.e. Canadian Registered Safety Professional, Canadian Health & Safety Consultant) or a willingness/ability to work towards a designation within the short term$$$%%%&&&A valid EMR or greater qualification$$$%%%&&&Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership$$$%%%&&&Occupational Health and Safety Certification;A valid EMR or greater qualification$$$%%%&&&Modern Safety Management and Practical Loss Control Leadership$$$%%%&&&Occupational Health and Safety Certification;Professional safety designation would be an asset (i.e. Canadian Registered Safety Professional, Canadian Health & Safety Consultant) or a willingness/ability to work towards a designation within the short term$$$%%%&&&Hydrogen Sulphide (H2S Alive)$$$%%%&&&Standard First Aid Training;;;;; 27-Jun-12;Health & Safety;;Exposure to business processes and safety systems within the petroleum industry Previous operational experience in the Oil and Gas industry;;;Experience with applying safety program expectations with a large contractor workforce$$$%%%&&&Exposure to facilities construction activities and Project Management requirements;;Experience with applying safety program expectations with a large contractor workforce$$$%%%&&&Exposure to facilities construction activities and Project Management requirements;;;;;;;;;;;;;;;;;;;Safety Advisor;;;;;<Click to select>;;;;;;Ability to write detailed, clear and concise reports$$$%%%&&&Intermediate level PC skills, including Microsoft Office Professional software$$$%%%&&&Experience using TapRoot software$$$%%%&&&Highly-developed communication, leadership, facilitation and coaching skills including the ability to present to large groups$$$%%%&&&Superior organizational skills combined with a tedious attention to detail;Experience using TapRoot software;Ability to write detailed, clear and concise reports$$$%%%&&&Intermediate level PC skills, including Microsoft Office Professional software$$$%%%&&&Highly-developed communication, leadership, facilitation and coaching skills including the ability to present to large groups$$$%%%&&&Superior organizational skills combined with a tedious attention to detail;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Interacting with the business units and corporate leadership teams to ensure program support from all levels of the organization$$$%%%&&&Leading/overseeing Health and Safety Management system development requiring corporate involvement$$$%%%&&&Mentoring and coaching business unit personnel in the application of Health and Safety Management systems$$$%%%&&&Developing, implementing, and maintaining area or site specific Health and Safety systems to protect workers and the general public$$$%%%&&&Providing knowledge and support to front line supervisors and workers to enable them to carry out their work safely$$$%%%&&&Developing and maintaining general Health and Safety knowledge to assist in routine Health and Safety tasks$$$%%%&&&Acting as a liaison with Health and Safety regulators on a local and corporate basis$$$%%%&&&Maintaining and updating existing reporting information systems$$$%%%&&&Participating in Husky Operational Integrity Management System (HOIMS) initiatives as required
13;;;Secondary education in a technical field or trade would be an asset.;Secondary education in a technical field or trade would be an asset.;;CRSP or progressing towards certification would be an asset.;CRSP or progressing towards certification would be an asset.;;;;;; 21-Jun-12;HS&E - Health & Safety;;Minimum of 10 years' diversified oil & gas industry experience.$$$%%%&&&Exposure/experience to plant and field operations with strong process related technical knowledge.;;Minimum of 10 years' diversified oil & gas industry experience.$$$%%%&&&Exposure/experience to plant and field operations with strong process related technical knowledge.;;;;;;;;;;Calgary;;;;;;;;;;;;Senior Health & Safety Advisor;;;;;<Click to select>;;;;;;Strong interpersonal, influencing and problem-solving skills$$$%%%&&&Superior verbal and written communication skills;;Strong interpersonal, influencing and problem-solving skills$$$%%%&&&Superior verbal and written communication skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Taking a lead role in ensuring that Health and Safety Management systems are fully implemented at all levels of the corporation.$$$%%%&&&Actively promote Process Safety Management initiatives in all business units.$$$%%%&&&Provide support to the HOIMS implementation team.$$$%%%&&&Enhance Husky's overall profitability through loss reduction.$$$%%%&&&Provide direction to project leaders involved in the enhancement of occupational health and safety programs.$$$%%%&&&
14;;;;;;Canadian Registered Safety Professional (CRSP),a similar designation or a related post-secondary certificate are considered a strong asset$$$%%%&&&Valid H2S and First Aid certifications;Canadian Registered Safety Professional (CRSP),a similar designation or a related post-secondary certificate are considered a strong asset;Valid H2S and First Aid certifications;;;;; 27-Jun-12;Health & Safety;;A minimum of 10 years' experience as a safety professional in the oil and gas industry$$$%%%&&&Knowledge of refining or oil and gas operations;Knowledge of refining or oil and gas operations;A minimum of 10 years' experience as a safety professional in the oil and gas industry;A solid understanding of occupational health and safety legislation in the provinces of Alberta, Saskatchewan, Manitoba and British Columbia$$$%%%&&&Proven knowledge and understanding of Health, Safety and Environmental Management Systems is required, as is experience with Root Cause Analysis, and behavior-based safety programs;;A solid understanding of occupational health and safety legislation in the provinces of Alberta, Saskatchewan, Manitoba and British Columbia$$$%%%&&&Proven knowledge and understanding of Health, Safety and Environmental Management Systems is required, as is experience with Root Cause Analysis, and behavior-based safety programs;;;;;;;;;;;;;;;;;;;Senior Health & Safety Advisor - Western Canada Operations;;;Manager, Process & Occupational Safety;;Yes;;;;;;Excellent communication, interpersonal, team and organizational skills and strong computer skills;;Excellent communication, interpersonal, team and organizational skills and strong computer skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Provide HSE expertise to construction site representatives, line managers, supervisors and contractors$$$%%%&&&Mentor and support construction site representatives in all aspects of HSE requirements$$$%%%&&&Ensure Emergency Response drills are conducted$$$%%%&&&Review contractor procedures and processes to ensure compliance to Husky requirements as well as Provincial Legislation. Actions must be assigned in the event the findings do not meet the requirements$$$%%%&&&Ensure Hazard Assessments are completed for the full scope of work$$$%%%&&&Ensure all Hazard ID's, near misses and incidents are entered into Omnisafe$$$%%%&&&Ensure adherence to the corporate Incident Management process$$$%%%&&&Conduct or participate in the HSE project kick-off meetings and ensure all requirements are completed$$$%%%&&&Conduct or participate in HSE contractor audits$$$%%%&&&Administer, document, implement and facilitate HSE orientations or training as appropriate$$$%%%&&&Participate in the Lessons Learned Review process upon project completion$$$%%%&&&Provide constructability feedback to construction site representative, contractors and the management team i.e. trends, areas for improvement, lessons learned etc.$$$%%%&&&Assist the construction site representative in planning critical work components
15;;;;;;Canadian Registered Safety Professional (CRSP),a similar designation or a related post-secondary certificate are considered a strong asset$$$%%%&&&Valid H2S and First Aid certifications;Canadian Registered Safety Professional (CRSP),a similar designation or a related post-secondary certificate are considered a strong asset;Valid H2S and First Aid certifications;;;;; 27-Jun-12;Health & Safety;;A minimum of 10 years' experience as a safety professional in the oil and gas industry$$$%%%&&&Knowledge of refining or oil and gas operations;Knowledge of refining or oil and gas operations;A minimum of 10 years' experience as a safety professional in the oil and gas industry;A solid understanding of occupational health and safety legislation in the provinces of Alberta, Saskatchewan, Manitoba and British Columbia$$$%%%&&&Proven knowledge and understanding of Health, Safety and Environmental Management Systems is required, as is experience with Root Cause Analysis, and behavior-based safety programs;;A solid understanding of occupational health and safety legislation in the provinces of Alberta, Saskatchewan, Manitoba and British Columbia$$$%%%&&&Proven knowledge and understanding of Health, Safety and Environmental Management Systems is required, as is experience with Root Cause Analysis, and behavior-based safety programs;;;;;;;;;;;;;;;;;;;Senior Staff HSE Advisor;;;Manager, Process & Occupational Safety;;Yes;;;;;;Excellent communication, interpersonal, team and organizational skills and strong computer skills;;Excellent communication, interpersonal, team and organizational skills and strong computer skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Provide HSE expertise to construction site representatives, line managers, supervisors and contractors$$$%%%&&&Mentor and support construction site representatives in all aspects of HSE requirements$$$%%%&&&Ensure Emergency Response drills are conducted$$$%%%&&&Review contractor procedures and processes to ensure compliance to Husky requirements as well as Provincial Legislation. Actions must be assigned in the event the findings do not meet the requirements$$$%%%&&&Ensure Hazard Assessments are completed for the full scope of work$$$%%%&&&Ensure all Hazard ID's, near misses and incidents are entered into Omnisafe$$$%%%&&&Ensure adherence to the corporate Incident Management process$$$%%%&&&Conduct or participate in the HSE project kick-off meetings and ensure all requirements are completed$$$%%%&&&Conduct or participate in HSE contractor audits$$$%%%&&&Administer, document, implement and facilitate HSE orientations or training as appropriate$$$%%%&&&Participate in the Lessons Learned Review process upon project completion$$$%%%&&&Provide constructability feedback to construction site representative, contractors and the management team i.e. trends, areas for improvement, lessons learned etc.$$$%%%&&&Assist the construction site representative in planning critical work components
16;N/A;N/A;Related post-secondary education or equivalent experience;;Related post-secondary education or equivalent experience;Certification in Project Management$$$%%%&&&Certification in related field (where applicable- give examples)$$$%%%&&&A valid Class 5 Driver's License (clean driving record of 3 years);;Certification in Project Management$$$%%%&&&Certification in related field (where applicable- give examples)$$$%%%&&&A valid Class 5 Driver's License (clean driving record of 3 years);N/A;N/A;N/A;N/A; 12-Jun-13;Process and Occupational Safety (P&OS);Occasionally;10 years experience in the Oil and Gas industry$$$%%%&&&Extensive/Expert knowledge of subject of relevant HOIMS element, and ability to apply principles and theories$$$%%%&&&Extensive knowledge of applicable government Acts and Regulations relating to relevant HOIMS element$$$%%%&&&Extensive knowledge of best practice relating to relevant HOIMS element;10 years experience in the Oil and Gas industry;Extensive/Expert knowledge of subject of relevant HOIMS element, and ability to apply principles and theories$$$%%%&&&Extensive knowledge of applicable government Acts and Regulations relating to relevant HOIMS element$$$%%%&&&Extensive knowledge of best practice relating to relevant HOIMS element;Minimum 5 years experience in relevant element$$$%%%&&&Ability to influence and/or persuade team with no reporting authority$$$%%%&&&Working knowledge of performing safety audits and inspections$$$%%%&&&Working knowledge of SAP or other Enterprise software$$$%%%&&&Experience with MS Office Suite (Word, Excel, PowerPoint)$$$%%%&&&Minimum of 5 years managing and leading a group of employees;Working knowledge of performing safety audits and inspections$$$%%%&&&Working knowledge of SAP or other Enterprise software;Minimum 5 years experience in relevant element$$$%%%&&&Ability to influence and/or persuade team with no reporting authority$$$%%%&&&Experience with MS Office Suite (Word, Excel, PowerPoint)$$$%%%&&&Minimum of 5 years managing and leading a group of employees;;N/A;Frequently;N/A;N/A;N/A;Calgary;N/A;N/A;N/A;N/A;N/A;Constantly;N/A;N/A;N/A;This position will work directly and collaboratively with the Operational Integrity change team and Sites to develop, implement and sustain one or more HOIMS Elements.This position will partner with Management and sites to foster a continuous improvement culture focused on process and occupational safety, and operational integrity.;N/A;Corporate Process Steward, HOIMS Audit Coordinator;N/A;N/A;VP, Process & Occupational Safety;N/A;Yes;N/A;Constantly;N/A;N/A;N/A;;;;;N/A;N/A;Constantly;N/A;N/A;Occasionally;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;"Collaborates with sites to developing site procedures, identifying tools, templates or forms to implementation of one or more HOIMS elements. (HOIMS Element 1 - 14)$$$%%%&&&Supports Sites in their rollout and implementation activities; including educating, training and coaching as well as developing and sustaining process training materials for one or more HOIMS elements. (HOIMS Elements 1, 6, 10)$$$%%%&&&Participates in Site audits, distributing lessons learned for continuous improvement for the corporate and site processes. (HOIMS Element 14)$$$%%%&&&Identifies Corporate and Site Process metrics to measure the adoption and effectiveness of the Process. Monitors and reports on established metrics. (HOIMS Element 1 and 14)$$$%%%&&&Leads a learning network for the specific one or more HOIMS elements (Stewards' network) (HOIMS Elements 1, 14)"
17;;;Related post-secondary education or equivalent experience;;Related post-secondary education or equivalent experience;;;;;;;; 18-Jun-13;Process and Occupational Safety (P&OS);;Oil and Gas industry experience;Oil and Gas industry experience;;Minimum 3 years of organizational effectiveness, facilitation, presentation, and change management experience$$$%%%&&&5 years experience with project scheduling, planning, and tracking$$$%%%&&&Experience with MS Office Suite (Word, Excel, PowerPoint)$$$%%%&&&Experience with project cost estimating, program accounting practices and business analysis$$$%%%&&&Experience in risk management and mitigation$$$%%%&&&2 years experience in change management$$$%%%&&&Team building and team leadership skills$$$%%%&&&Strong written and verbal communication skills$$$%%%&&&Demonstrated ability to communicate effectively with cross functional technical teams, business organizations, vendors and management$$$%%%&&&Well rounded business acumen$$$%%%&&&Attention to detail – ensure details are arranged and communicated$$$%%%&&&Strong people skills – win/win approach, task and schedule negotiation, builds rapport quickly$$$%%%&&&Self starter – learns quickly, eager to learn and take on more$$$%%%&&&Ability to deal with ambiguity in a positive way – willing to follow-up until clarity is achieved;;Minimum 3 years of organizational effectiveness, facilitation, presentation, and change management experience;;;;;;;Calgary;;;;;;;;;;This position is responsible for planning, executing and finalizing corporate projects for the delivery and implementation of Corporate Standards and Procedures for the 14 Husky Operational Integrity Management System (HOIMS) Elements.This position will partner with sites, management and HOIMS Stewards to foster a continuous improvement culture focused on process and occupational safety, and operational integrity.;;HOIMS Project Advisor;;;Operational Integrity Change Coordinator;;No;;;;;;;;;2+;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;"Collaborate with HOIMS Process Owners and HOIMS Process Stewards to identify scope, scheduling, development and implementation of Corporate Process Standards and Procedures, ensuring alignment with the HOIMS Audit Process. (HOIMS Element 1)$$$%%%&&&Track and communicate project milestones and deliverables to project stakeholders. (HOIMS Elements 1, 10)$$$%%%&&&Develop project milestones/deliverables and associated communications documents. (HOIMS Elements 1, 10)$$$%%%&&&Proactively manage changes in project scope, identify potential crises, and devise contingency plans. (HOIMS Elements 1, 9)$$$%%%&&&Determine and assess need for additional staff, consultants, resources or participants and make proposals/ recommendations to Operational Integrity Change Lead. (HOIMS Element 1)$$$%%%&&&Lead a cross-functional business analysis/ technical writer team to carry out work described by the project plan, meeting the performance and quality requirements set out in the HOIMS Aims and Expectations brochure. (HOIMS Element 1)$$$%%%&&&Support continuous improvement; capture performance metrics for the project; capture lessons learned and opportunities for improvement to be turned into best practices to be employed by future project teams HOIMS Elements 1, 14)"
18;N/A;N/A;Power Engineering Certificate or Diploma (remove?)$$$%%%&&&Gas Production Operations/ Field Production Operations Certificate $$$%%%&&&Related post-secondary education or equivalent experience$$$%%%&&&Occupational Health and Safety Certificate/Diploma or Degree from a recognized post-secondary institution ;Power Engineering Certificate or Diploma (remove?)$$$%%%&&&Gas Production Operations/ Field Production Operations Certificate ;Related post-secondary education or equivalent experience$$$%%%&&&Occupational Health and Safety Certificate/Diploma or Degree from a recognized post-secondary institution ;HOIMS Facilitator training$$$%%%&&&HOIMS Implementation Methodology Training$$$%%%&&&Change Management training$$$%%%&&&Leader as a Coach training$$$%%%&&&Project Management training$$$%%%&&&Canadian Registered Safety Professional (CRSP) or equivalent$$$%%%&&&First Aid CPR Certificate$$$%%%&&&Training in: WHMIS, H2S Alive$$$%%%&&&A valid Class 5 Driver's License (clean driving record of 3 years);Change Management training$$$%%%&&&Project Management training$$$%%%&&&Canadian Registered Safety Professional (CRSP) or equivalent$$$%%%&&&First Aid CPR Certificate;HOIMS Facilitator training$$$%%%&&&HOIMS Implementation Methodology Training$$$%%%&&&Leader as a Coach training$$$%%%&&&Training in: WHMIS, H2S Alive$$$%%%&&&A valid Class 5 Driver's License (clean driving record of 3 years);N/A;N/A;N/A;N/A; 12-Jun-13;All Husky Sites;Frequently;10 years in the Oil and Gas industry$$$%%%&&&Anything required??;10 years in the Oil and Gas industry;;Experience with Facilitation$$$%%%&&&Experience in Process Safety$$$%%%&&&Field Operations experience$$$%%%&&&Coaching/Mentoring experience$$$%%%&&&Proficient in MS Office$$$%%%&&&Proficient in use of HDMS$$$%%%&&&HOIMS Dashboard reporting;Experience with Facilitation$$$%%%&&&Experience in Process Safety$$$%%%&&&Field Operations experience$$$%%%&&&Coaching/Mentoring experience$$$%%%&&&HOIMS Dashboard reporting;Proficient in MS Office$$$%%%&&&Proficient in use of HDMS;;N/A;Frequently;N/A;Occasionally;N/A;Various;N/A;N/A;N/A;N/A;Frequently;Frequently;Constantly;N/A;Frequently;As subject matter expert for one or more HOIMS Element, this position is responsible for implementation, sustainment and support of Husky’s Operational Integrity Management System (HOIMS) at the Business Unit/ Site.This position will partner with Management and Sites to foster a continuous improvement culture focused on process and occupational safety, and operational integrity.;N/A;Site/BU HOIMS Process Stewart (HOIMS Advisor/Coordinator/Team Lead);N/A;N/A;Superintendent/Manager;N/A; Yes;Occasionally;Frequently;N/A;N/A;Occasionally;;;;1 +;N/A;N/A;Occasionally;N/A;N/A;Frequently;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results; Individual Contributor;"Steward implementation of one or more HOIMS elements to ensure continuous improvement at BU/site. (HOIMS Element 1 – 14)$$$%%%&&&Coaching/mentoring area management and area employees on HOIMS implementation, compliance to standards and continuous improvement activities. (HOIMS Elements 1, 6, 11, 14)$$$%%%&&&Supports BU/Sites in their roll out and implementation activities; including educating, training and coaching as well as developing and sustaining process training materials for one or more HOIMS elements. (HOIMS Element 1, 6, 10, 14)$$$%%%&&&Manage HOIMS process improvements that are identified through an audit and monthly metrics. Generate monthly reporting: progress reporting, metrics reporting, summarize monthly activities (HOIMS Element 14)$$$%%%&&&Manage HOIMS Communication Strategy at the site (HOIMS Element 1)"
19;;;Post secondary education in Business or Engineering (including courses in English / Technical Writing) or equivalent experience.;;Post secondary education in Business or Engineering (including courses in English / Technical Writing) or equivalent experience.;;;;;;;; 18-Jun-13;Health, Safety, Environment & Quality (HSEQ);;Experience in the oil and gas industry – 5 years;Experience in the oil and gas industry – 5 years;;Experience writing and implementing procedural documentation in a large organization$$$%%%&&&Development and implementation of management systems – 5 years$$$%%%&&&Experience writing and implementing procedural documentation in the oil and gas industry – 2 years;Development and implementation of management systems – 5 years$$$%%%&&&Experience writing and implementing procedural documentation in the oil and gas industry – 2 years;Experience writing and implementing procedural documentation in a large organization;;;;;;;St. John's, NL;;;;;;;;;;The Management System (MS) Coordinator maintains and improves the East Coast Management System (ECMS) and verifies the quality level of documents being entered into the ECMS.  The MS Coordinator assists in coordinating the HOIMS Improvement process in the Atlantic Region and ensures the ECMS evolves to support this implementation.  The MS Coordinator provides support services to Document Owners to ensure that all policies, standards, procedures and work instructions are suitable and reviewed on a periodic basis.This position will partner with the management of the business unit to foster a continuous improvement culture focused on process and occupational safety, and operational integrity.;;Management System Advisor;;;Management System Lead;;No;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Work with authors/potential authors to promote a clear P&OS vision that generates commitment and support from all staff (employees and contractors) in the business unit (HOIMS Element 1)$$$%%%&&&Ensure ECMS and HOIMS web sites are efficient in providing easy access to the management system documents that support HOIMS and provide training related to the ECMS as required (HOIMS Elements 1, 6)$$$%%%&&&Coordinate the HOIMS improvement process in the Atlantic Region (i.e., the corporate HOIMS Implementation Methodology and Corporate Standards Delivery Plan as it applies to the Atlantic Region) and coordinate HOIMS Custodian meetings (HOIMS Element 1)$$$%%%&&&Promote a positive and P&OS culture, and report all at-risk behaviours, hazards and incidents (HOIMS Element 2, 7)$$$%%%&&&Participate in training as per training and competency (T&C) matrix and discuss any training deficiency with supervisor (HOIMS Element 6)$$$%%%&&&Review documentation prior to accepting it for inclusion in the ECMS and provide feedback to the document owners / authors on any issues, consult and advise departmental management and personnel on ECMS Documentation requirements and quality issues, provide advice and direction on ECMS documentation to the personnel in the Document Management Group, Provide ECMS Document Status Reports to Managers & Document Owners and coordinate document status data with the HSEQ Reporting System (HOIMS Element 10)$$$%%%&&&Work with Supervisor to set annual goals as part of the PPRP and work towards the achievement of the goals (HOIMS Element 14)$$$%%%&&&
