;id;cluster;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CA_REQD;CA_ASSET;CP;CP_REQD;CP_ASSET;ER;ER_REQD;ER_ASSET;EI;EI_REQD;EI_ASSET;TS;TS_REQD;TS_ASSET;competencies;competency_group;Bending/Crouching:;Climbing:;Driving:;Keyboarding:;Kneeling/Crawling:;On-call:;Operating equipment:;Sedentary/Sitting:;Shift work:;Travel:;Walking:;Manual tools:;Office equipment:;Pneumatic tools:;Power tools:;Shop tools:;Tool belt worn:;Vibration tools:;Welding:; Extreme heat/cold:;Chemicals:;Confined spaces:;Heights:;Moving equipment:;Night time:;Noise:;Outdoors:;Rotating equipment:;Toxic gases:;Uneven surfaces:;Wet or damp:;Light 11-20 pounds:;Medium 21-50 pounds:;Sedentary 0-10 pounds:;Carrying:;Lifting:;Pushing/pulling:;Standing:
95;95;18; 8-Nov-12;Total Rewards;Calgary, AB;Team Lead, Health, Benefits & Retirement;Manager, Total Rewards;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;96;40; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Human Resources Business Partner;Manager, Human Resources, Business Partners;No;;;Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the HR Business Partner team, which meets weekly to enable 	shared learnings and foster a positive and collaborative work environment$$$%%%&&&$$$%%%&&&;An undergraduate degree in Business or equivalent professional level work experience;An undergraduate degree in Business or equivalent professional level work experience;;CHRP designation would be an asset;;CHRP designation would be an asset;Minimum 5 years of strategic HR experience$$$%%%&&&HR experience with Finance would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;Minimum 5 years of strategic HR experience$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;HR experience with Finance would be an asset;;;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;97;2; 6-Nov-12;Human Resources Business Martners;Calgary, AB;Human Resources Business Partner, Team Lead;Manager, Human Resources Business Partners;No;;;Performance Management:	- Set and align performance metrics to the goals 	- Provide coaching guidance and feedback on a regular basis$$$%%%&&&Leadership:	- Coach and mentor the team members in achieving goals and ongoing development 	- Strategic partner to the Senior VP in achieving short and long tem business objectives 	- Assist in the coordination of the overall HR plans for the business unit$$$%%%&&&Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the Total Rewards & HR Business Partners team, which meets 	weekly to enable shared learning and foster a positive and collaborative work environment;An undergraduate degree in Business or equivalent professional level work experience;An undergraduate degree in Business or equivalent professional level work experience;;CHRP designation would be an asset;;CHRP designation would be an asset;Minimum 10 years experience as a HR Advisor/Business Partner and at least 3 years in a supervisory capacity$$$%%%&&&HR experience with Health, Safety, and Environment and/or Information Services or Technology would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Strong understanding of HR processes and how they support the business$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;Minimum 10 years experience as a HR Advisor/Business Partner and at least 3 years in a supervisory capacity$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Strong understanding of HR processes and how they support the business$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;HR experience with Health, Safety, and Environment and/or Information Services or Technology would be an asset;;;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;98;36; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Senior Human Resources Business Partner;Manager, Human Resources, Business Partners;No;;;Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the HR Business Partner team, which meets weekly to enable 	shared learnings and foster a positive and collaborative work environment$$$%%%&&&$$$%%%&&&;An undergraduate degree in Business or equivalent professional level work experience;An undergraduate degree in Business or equivalent professional level work experience;;CHRP designation would be an asset;;CHRP designation would be an asset;Minimum 5 years of strategic HR experience$$$%%%&&&HR experience with Finance would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;Minimum 5 years of strategic HR experience$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;HR experience with Finance would be an asset;;;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization";Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;99;8; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Organizational Effectiveness Advisor;Team Lead, Organizational Effectiveness;No;;In this role, you will be responsible for managing and growing a number of key programs including (but not limited to) Husky's (vendor delivered) Leadership Development and Business Skills programs and Performance Management program. All programs are enterprise wide and offer both a rich breadth and depth of experience in the OE field for those looking to grow their career in this area. It will also include responding to internal client requests for team building, change management, strategic planning, assessment and facilitation.;Identify and develop approaches (interventions) to improve team effectiveness and/or achieve strategic business unit objectives (e.g., strategic planning, organizational design)$$$%%%&&&Assist leaders with coaching and strategies regarding leadership, teambuilding, performance management, employee development and change management$$$%%%&&&Diagnose key issues and business processes to ensure OE programs and processes are aligned to business needs and helping to achieve organizational goals$$$%%%&&&Apply a structured change management approach to support project success and execution$$$%%%&&&Source and evaluate learning resources inside and outside the organization and make recommendations on whether to build or buy$$$%%%&&&Consult with subject matter experts on the development and delivery of leadership and business training courses$$$%%%&&&Organize, develop and help deliver OE-related events (i.e. Leader's meetings, Learning Forums, Lunch & Learn Sessions)$$$%%%&&&Stay abreast of OE-related theories, techniques and best practices and incorporate these into initiatives as appropriate$$$%%%&&&Assist leaders to form and sustain internal networks and Communities of Practice in support of our leadership development efforts;Bachelor's degree or diploma in an OE related discipline (e.g., HR, Organization Development, Psychology, Business Administration);Bachelor's degree or diploma in an OE related discipline (e.g., HR, Organization Development, Psychology, Business Administration);;;;;3 to 5 years experience in an OE or closely related role;3 to 5 years experience in an OE or closely related role;;;;;"Strong verbal, written and interpersonal communication skills$$$%%%&&&Ability to multi-task and manage priorities and multiple projects in a fast paced, changing environment$$$%%%&&&Dedicated to innovation and continuous improvement$$$%%%&&&Strong presentation skills with an ability to influence$$$%%%&&&Experience with excel, power point and word$$$%%%&&&Openness to feedback and coaching; strong willingness to learn$$$%%%&&&Ability to diagnose and solve (root-cause) problems$$$%%%&&&Ability to design and develop training sessions, programs and/or change management strategies to address business needs or support talent management program implementation$$$%%%&&&Able to work cross-functionally with a collaborative mindset";"Strong verbal, written and interpersonal communication skills$$$%%%&&&Ability to multi-task and manage priorities and multiple projects in a fast paced, changing environment$$$%%%&&&Dedicated to innovation and continuous improvement$$$%%%&&&Strong presentation skills with an ability to influence$$$%%%&&&Experience with excel, power point and word$$$%%%&&&Openness to feedback and coaching; strong willingness to learn$$$%%%&&&Ability to diagnose and solve (root-cause) problems$$$%%%&&&Ability to design and develop training sessions, programs and/or change management strategies to address business needs or support talent management program implementation$$$%%%&&&Able to work cross-functionally with a collaborative mindset";;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;100;34; 3-Mar-14;HR;Calgary, AB;Curriculum and Program Developer, Sr. Advisor;Jennifer Nicol Sylvestre (OE, HR) & Patrick Mitchell (P&OS);No;Curriculum & Program Developer, Sr. Advisor (no reports);Designs and develops the program level curriculum for Husky’s Operational Integrity University (OIU). Includes managing the planning, development, implementation, execution and maintenance phases and related processes for the program with key stakeholders. This individual will develop the OIU curriculum to be used by the HOIMS training facilitators and/ or instructors and training participants.;Designing and developing the HOIMS OIU program which includes: technical skills, management and leadership development, process and occupational safety and practice, business processes and systems, and training related to Husky’s operations & process systems and maintenance.$$$%%%&&&Working with teams to lead all aspects of the curriculum design and development: requirements and prioritization, development of assessment strategies, documentation, implementation, evaluation, and support. This includes liaising with key stakeholders to ensure business needs and HOIMS strategy are reflected in the program design.$$$%%%&&&Developing business processes for launching, using, and maintaining OIU Program. This includes working collaboratively across functional areas to plan, manage and coordinate the launch of the new program.$$$%%%&&&Conducting a gap analysis of all existing training materials relevant to the HOIMS OIU program.$$$%%%&&&Overseeing or designing program content, training materials, training modules, teaching/instructional aids, assessments, and a process to review and include feedback from end of course surveys, and learner evaluations into the quality assurance and course maintenance processes. This includes designing the setup documentation for compliance and accreditation purposes for the OIU program.$$$%%%&&&Delivering accurate, high-quality documentation within specified deadlines, milestones, and timeline.;Advanced Degree in related field, preferred PhD (or M.Ed or MA in Instructional Systems Design);Advanced Degree in related field, preferred PhD (or M.Ed or MA in Instructional Systems Design);;Project Management Certification;;Project Management Certification;Program level design (Curriculum Development project execution)$$$%%%&&&Managing major curriculum projects (10 yrs)$$$%%%&&&Familiar with Learning Management Systems and Processes$$$%%%&&&Project management and program development life cycle$$$%%%&&&Business process design;Program level design (Curriculum Development project execution)$$$%%%&&&Managing major curriculum projects (10 yrs)$$$%%%&&&Familiar with Learning Management Systems and Processes$$$%%%&&&Project management and program development life cycle$$$%%%&&&Business process design;;Oil and Gas industry experience (5 yrs)$$$%%%&&&Oil and Gas training program development;;Oil and Gas industry experience (5 yrs)$$$%%%&&&Oil and Gas training program development;Microsoft Office Suite$$$%%%&&&Experience with various online training delivery platforms;Microsoft Office Suite$$$%%%&&&Experience with various online training delivery platforms;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;Occasionally;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;101;38; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Team Lead, Organizational Effectiveness;Manager, Human Resources Talent Management & Diversity;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;102;19; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Payroll Analyst;Team Lead, Payroll;No;;This position reports to the Payroll Team Lead and will be responsible for the timely preparation and delivery of Expatriate and Director payroll. As a key member of the Payroll team you will act as the primary point of contact for employees, managers and HR Advisors with payroll related inquiries.;Process Expatriate and Directors payroll$$$%%%&&&Assist with troubleshooting and analysis of domestic salary and hourly payroll process to ensure data is administered correctly$$$%%%&&&Assist with payroll issues (troubleshooting), year-end administration and submissions as required$$$%%%&&&Participate in projects (research, testing) to improve quality of payroll services$$$%%%&&&Keep abreast of legislative environments as it pertains to Payroll and work proactively to ensure Payroll processes and systems are in place to address legislative changes as they occur$$$%%%&&&;Minimum 4 years' progressive experience working with a financial and payroll system;Minimum 4 years' progressive experience working with a financial and payroll system;;PCP Certification or working towards completion;PCP Certification or working towards completion;;Experience processing semi-monthly Canadian payrolls, for 4000+ employees$$$%%%&&&Experience preparing payroll reconciliations, journal entries, and year end audits;Experience processing semi-monthly Canadian payrolls, for 4000+ employees$$$%%%&&&Experience preparing payroll reconciliations, journal entries, and year end audits;;;;;Knowledge of SAP payroll$$$%%%&&&Intermediate to advanced Excel skills$$$%%%&&&Flexible and able to work well under pressure of deadlines, changing priorities, and last minute changes$$$%%%&&&Maintain strict confidentiality$$$%%%&&&Strong interpersonal and communication skills;Knowledge of SAP payroll$$$%%%&&&Intermediate to advanced Excel skills$$$%%%&&&Flexible and able to work well under pressure of deadlines, changing priorities, and last minute changes$$$%%%&&&Maintain strict confidentiality$$$%%%&&&Strong interpersonal and communication skills;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;103;19; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Payroll Specialist;Team Lead, Payroll;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;104;19; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Team Lead, Payroll;Manager, Shared Services & Technical Support;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;Bachelors degree in Business Administration, Human Resources or a related field OR;Bachelors degree in Business Administration, Human Resources or a related field OR;;Certification in Business Analysis (e.g. IIBA - CBAP, etc);Certification in Business Analysis (e.g. IIBA - CBAP, etc);;Minimum 4 to 6 years experience in Human Resources, specifically in performance, reporting and analytics$$$%%%&&&Significant experience collecting, analyzing, synthesizing a broad range of workforce and labour data;Minimum 4 to 6 years experience in Human Resources, specifically in performance, reporting and analytics$$$%%%&&&Significant experience collecting, analyzing, synthesizing a broad range of workforce and labour data;;;;;Proficiency in SAP and Windows Office Suite with advanced excel skills (especially pivot, tables, V-lookup, graphs and charts functionality).$$$%%%&&&Proven ability to build strong working relationships, internal and external to the organization$$$%%%&&&A self starter with a high degree of initiative$$$%%%&&&A flexible team player$$$%%%&&&Strong presentation and facilitation skills$$$%%%&&&Creative, forward thinker$$$%%%&&&Strong interpersonal, analytical, organizational and communication skills;Proficiency in SAP and Windows Office Suite with advanced excel skills (especially pivot, tables, V-lookup, graphs and charts functionality).$$$%%%&&&Proven ability to build strong working relationships, internal and external to the organization$$$%%%&&&A self starter with a high degree of initiative$$$%%%&&&A flexible team player$$$%%%&&&Strong presentation and facilitation skills$$$%%%&&&Creative, forward thinker$$$%%%&&&Strong interpersonal, analytical, organizational and communication skills;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;105;19; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Human Resources Reporting Analyst;Manager, Shared Services & Technical Support;No;;As a member of the Human Resources team, the Human Resources (HR) Reporting Analyst is responsible for developing & maintaining the HR metrics framework and methodology for the organization wide HR scorecard to measure the performance and effectiveness of the Husky HR strategy. The HR Reporting Analyst also conducts reporting and analysis that supports strategic HR decision making.Specific responsibilities include:;"Develop & maintain the organization wide HR metrics framework and methodology to measure the performance and effectiveness of the HR Strategy$$$%%%&&&Assist in the development of the organization wide HR scorecard; interpret metrics and provide recommendations to improve performance on delivery of the HR Strategy.$$$%%%&&&Provide standard templates and perform HR reporting analytics and support requirements of HR Business Partners and COE's to enable research, analysis and data driven decision making$$$%%%&&&Prepare reporting models and standards for HR to use in analyzing HR performance to industry benchmarks$$$%%%&&&Conduct reporting and trend analysis to assist in improving operational efficiency$$$%%%&&&Produce HR Analytics reports and provide support to address complex reporting requirements$$$%%%&&&Perform ad hoc reports/analysis as required$$$%%%&&&Coordinate and complete industry HR surveys (with the exception salary surveys) and conduct analysis of the results.$$$%%%&&&Prepare and deliver training to HR team on performance metrics processes and tools as required$$$%%%&&&Support the continuous improvement of Husky's performance on delivery of the HR Strategy by researching HR metrics and HR scorecard best practices, collaborating with the HR Leadership Team to gather feedback on effectiveness$$$%%%&&&Address and or escalate any issues or challenges related to performance and effectiveness of the HR Strategy$$$%%%&&&Assists with the coaching and development of new team members.$$$%%%&&&Identifies and participates in continuous improvement initiatives.";Bachelors degree in Business Administration, Human Resources or a related field OR$$$%%%&&&Certification in Business Analysis (e.g. IIBA - CBAP, etc);Bachelors degree in Business Administration, Human Resources or a related field OR$$$%%%&&&Certification in Business Analysis (e.g. IIBA - CBAP, etc);;;;;Minimum 4 to 6 years experience in Human Resources, specifically in performance, reporting and analytics$$$%%%&&&Significant experience collecting, analyzing, synthesizing a broad range of workforce and labour data;Minimum 4 to 6 years experience in Human Resources, specifically in performance, reporting and analytics$$$%%%&&&Significant experience collecting, analyzing, synthesizing a broad range of workforce and labour data;;;;;Proficiency in SAP and Windows Office Suite with advanced excel skills (especially pivot, tables, V-lookup, graphs and charts functionality).$$$%%%&&&Proven ability to build strong working relationships, internal and external to the organization$$$%%%&&&A self starter with a high degree of initiative$$$%%%&&&A flexible team player$$$%%%&&&Strong presentation and facilitation skills$$$%%%&&&Creative, forward thinker$$$%%%&&&Strong interpersonal, analytical, organizational and communication skills;Proficiency in SAP and Windows Office Suite with advanced excel skills (especially pivot, tables, V-lookup, graphs and charts functionality).$$$%%%&&&Proven ability to build strong working relationships, internal and external to the organization$$$%%%&&&A self starter with a high degree of initiative$$$%%%&&&A flexible team player$$$%%%&&&Strong presentation and facilitation skills$$$%%%&&&Creative, forward thinker$$$%%%&&&Strong interpersonal, analytical, organizational and communication skills;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;106;19; 6-Nov-12;Shared Services & Technical Support;Calgary, AB;Human Resources Services Representative;Team Lead, Human Resources Shared Services;No;;In this role, you will be responsible for the administration of employee life cycle events and the associated personnel actions. This includes the maintenance of data in SAP HR and other HR systems, HR data reporting and all supporting administrative duties. You will act as the point of contact for both employee queries and business unit support.;Performs administration of personnel actions including hiring, employee documentation, transfers, promotions, benefits administration and departures.$$$%%%&&&Provides reports to the HR Advisors, Business Units and HR Management team.$$$%%%&&&Supports Line Management and the HR department, as needed.$$$%%%&&&Responds to queries from employees, managers and the HR department.$$$%%%&&&Collects, coordinates and updates information within SAP and all other related systems (integrated and non-integrated), as required for administration of personnel actions.$$$%%%&&&Conducts research, analysis and reporting of data on assigned projects.$$$%%%&&&Assists with the coaching and development of new team members.$$$%%%&&&Identifies and participates in continuous improvement initiatives.;Post Secondary education preferably in Human Resources or a related discipline.;Post Secondary education preferably in Human Resources or a related discipline.;;;;;Minimum 1 year of Human Resources administration experience$$$%%%&&&Payroll experience$$$%%%&&&Project, analysis or audit skills and experience$$$%%%&&&Knowledge and aptitude of HR systems and reporting tools;Minimum 1 year of Human Resources administration experience;Payroll experience$$$%%%&&&Project, analysis or audit skills and experience$$$%%%&&&Knowledge and aptitude of HR systems and reporting tools;;;;Ability to handle highly confidential and sensitive information$$$%%%&&&Good general computer skills with proficiency in Microsoft Word and Excel$$$%%%&&&Excellent organizational, time management, interpersonal and collaborative skills$$$%%%&&&Highly developed oral and written communication skills$$$%%%&&&Ability to effectively work both independently and within a team environment$$$%%%&&&High degree of accuracy and attention to detail$$$%%%&&&Ability to work with and meet strict deadlines$$$%%%&&&Software experience with SAP, SAP HR, Taleo or other Husky HR software tools;Ability to handle highly confidential and sensitive information$$$%%%&&&Good general computer skills with proficiency in Microsoft Word and Excel$$$%%%&&&Excellent organizational, time management, interpersonal and collaborative skills$$$%%%&&&Highly developed oral and written communication skills$$$%%%&&&Ability to effectively work both independently and within a team environment$$$%%%&&&High degree of accuracy and attention to detail$$$%%%&&&Ability to work with and meet strict deadlines;Software experience with SAP, SAP HR, Taleo or other Husky HR software tools;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
