; ;                          SCBA:;                         PPE:;                         PPE:  ;                    Analyzers:;                Hard hat:;                Safety Boots:;               PMI Analyzer:;               Respirator:;              FR clothing:;            Safety Glasses:;          Resp./Fit Test:;         DCS Operation of                    equipment:;        Ear protection:;       Fall Protection:;       Resp. Qualified:;       Safety Harness:;      SCBA w/Fit Test:;     PPE Inc Harness:;     PPE Inc Harness:            ;    PPE Inc. Harness:;    PPE Incl Harness:;   Arc Flash Clothing:;   PPE Incl  Harness:;   PPE Incl. Harness:;   PPE incl. Harness:;  Respirator/Fit Test:; Direct Reports:; Extreme heat/cold:;Arc Flash Clothing;Arc flash Clothing;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Direct Reports (#):;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Ear protection;Electrical Testing Equipment and Test Instruments.;Extreme heat/cold:;FR clothing;Fall Protection;Fall protection;Fire protective gear:;Hard hat;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;N/A;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;POSITION SUMMARY: ;PPE Inc Harness:;PPE Inc. Harness:;PPE:;Perform Safety Critical Tasks?;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Respirator/Fit Test:;Respirator/Fit Tested:;Rotating equipment:;SCBA;Safety Boots;Safety boots;Safety glasses;Safety-Sensitive:;Sampling Systems and Equipment:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Variable working Hours depending on training needs:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3rd Class Steam Certificate;;;;;;; 21-Dec-16;HLU - Operations;;;10 years Refining / Upgrading;;;;;;;;;;;;;;;;;;;HLU;;;;;;;;;;;The Operations Maintenance Coordinator is the Operations liaison with the Maintenance Department.  Primary responsibilities include the day-to-day maintenance activities and work notification prioritization while   supporting the Area Coordinators and Shift Supervisor(s).The Operations Maintenance Coordinator will focus on day-to-day maintenance activities, interface with operations personnel regarding work prioritization, manage planned and unplanned maintenance outages, and manage equipment isolation and readiness for maintenance. The Operations Maintenance Coordinator will work the Area Coordinators and Shift Supervisors to identify and resolve plant vulnerabilities;;;;;;;Operations Maintenance Coordinator;;;Operations Superintendents;;;;;;;;Yes;;;;;;;;;;0;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Undivided focus and visibility of single-point contact with the Maintenance Department$$$%%%&&&Continuous management of maintenance issues$$$%%%&&&Develop working knowledge of site wide process equipment$$$%%%&&&Review and confirm prioritization of work notifications$$$%%%&&&Attend and provide input to daily and update meetings$$$%%%&&&Identify vulnerabilities affecting on-stream factor  $$$%%%&&&Participate in HAZOP reviews as required$$$%%%&&&Lead or participate in incident reviews and investigation as required$$$%%%&&&Attend bi-weekly OH&S Observation tours as required$$$%%%&&&Provide coverage for the Area Coordinators and the Turnaround & Project Coordinator when required$$$%%%&&&Support Asset Care initiatives$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;Occasionally;Third class Power Engineering certification;;Third class Power Engineering certification;Technical and/or Procedure Writing training would be an asset;Technical and/or Procedure Writing training would be an asset;;Occasionally;N/A;N/A;N/A; 21-Dec-16;HLU - Operations;;N/A;Minimum of 10 years operating experience in Refinery or Upgrader$$$%%%&&&Previous Husky Lloydminster Upgrader operating experience would be an asset;Previous Husky Lloydminster Upgrader operating experience would be an asset;Minimum of 10 years operating experience in Refinery or Upgrader;Previous operating procedure writing experience would be an asset ;Previous operating procedure writing experience would be an asset ;;;;;;;;;;Occasionally;Constantly;N/A;Occasionally;Occasionally;HLU;N/A;Occasionally;N/A;;N/A;Occasionally;Constantly;N/A;N/A;Occasionally;Dedicating a person to manage and oversee the development and maintenance of all HLU operating procedures will provide the accountability that is required to maintain such a program. The permanent procedure writer will be responsible to ensure that all operating procedures are kept current, valid, and meet both the expectations of our insurance underwriters and the intent of our HOIMS culture.With an increased focus on process safety by our regulators, insurance underwriters, and our key stakeholders it has become paramount that Operations provides the necessary resources to ensure safe operations. Dedicating a person that will be accountable to manage the development and maintenance of the HLU safe operating procedures is a key step towards continuous improvement. ;;;;;;N/A;Procedure Writer (Specialist);N/A;N/A;Operations Training & Safety Team Lead;;;N/A;;;;;Yes;;Occasionally;Constantly;N/A;N/A;Occasionally;Advanced word processing and technical writing skills$$$%%%&&&Good facilitation skills$$$%%%&&&Ability to influence others$$$%%%&&&Good organization skills;;Advanced word processing and technical writing skills$$$%%%&&&Good facilitation skills;0;N/A;N/A;N/A;Occasionally;;N/A;Occasionally;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Identify and evaluate procedure review triggers such as MOCs, incident investigations, PHAs, etc$$$%%%&&&Gather and validate data to revise and update procedures$$$%%%&&&Incorporate relevant feedback from the review process into the procedure$$$%%%&&&Initiate the procedure approval process$$$%%%&&&Coach and mentor others in methods of gathering, reviewing and writing procedures$$$%%%&&&Responsible for effective document control and communication regarding procedures$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 21-Dec-16;HLU - Operations;;;;;;;;;;;;;;;;;;;;;;HLU;;;;;;;;;;;"Responsible for the safe operation of a process operating area. Includes operation of all types of equipment, pumps, compressors and control panel consoles. Mental alertness for 12 hour shift monitoring pressures, tanks, temperatures; and the ability to intervene into the process control system in critical conditions.  Lack of ability to proactively react to foreseeable and unforeseeable changing unit operating conditions may result in employee injury or death.";;;;;;;Panel Process Operator;;;;;;;;;;;Yes;;;;Constantly;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 8-Aug-17;HLU - Operations;;;;;;;;;;;;;;;;;;;;;;HLU;;;;;;;;;;;;;;;;;;Project Technician;;;;;;;;;;;Yes;;;;;;;;;;0;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Participate in DBM quality engineering package review.$$$%%%&&&Participate in project hazop / What-If reviews.$$$%%%&&&Provide a constant contact for Maintenance Coordinators, Project Coordinators, construction contractors and operations on a day to day basis.$$$%%%&&&Ensure project activities between Ops shift teams, plant maintenance and contract construction crews have been adequately coordinated.$$$%%%&&&Interface with Operations Maintenance Planners, Project Planners, Project Engineering (HLU and Corporate), and Loss Management.$$$%%%&&&Participate in project construction package review.$$$%%%&&&Ensure all permits required for the project are completed and in place. (i.e. Temporary Structure, Temporary Power Installation, Excavation, etc.)$$$%%%&&&Assist Operations in monitoring work areas, taking note of hazards and house keeping, and ensuring personnel safety.$$$%%%&&&Participate in contractor safety meetings.$$$%%%&&&Communicate with contractor on safety/safety issues/safe work plans/procedures /procedure compliance.$$$%%%&&&Development of Safe Work Plans and Procedures.$$$%%%&&&Ensure compliance to Safe Work Plans and Procedures.$$$%%%&&&Coordinate equipment isolation and preparation with unitoperators$$$%%%&&&Maintain awareness of current unit status that project is in.$$$%%%&&&Ensure of smooth transition from day work to night work as needed.$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;Occasionally;High School Diploma$$$%%%&&&Class 5 Drivers License;;High School Diploma$$$%%%&&&Class 5 Drivers License;Power Engineering Certification$$$%%%&&&Certificate in Occupational Health and Safety;Power Engineering Certification$$$%%%&&&Certificate in Occupational Health and Safety;;Occasionally;Occasionally;Occasionally;Occasionally; 21-Dec-16;HLU - Operations;;Occasionally;10 years experience in the Petrochemical Industry - preferred$$$%%%&&&10 years experience in other industrial environments  - will be considered ;10 years experience in the Petrochemical Industry - preferred$$$%%%&&&10 years experience in other industrial environments  - will be considered ;;5 years working as a Process Operator$$$%%%&&&5 years working as an Occupational Health and Safety Professional;5 years working as a Process Operator$$$%%%&&&5 years working as an Occupational Health and Safety Professional;;;;;;;;;;Occasionally;Frequently;N/A;Occasionally;Occasionally;HLU;N/A;Occasionally;Occasionally;;N/A;Occasionally;Frequently;Occasionally;N/A;Occasionally;The Operations Safety Technician will provide expertise on all Operations Safety issues.;;;;;;N/A;Safety Technician;N/A;Occasionally;Operations Training & Safety Team Lead;;;Occasionally;;;;;Yes;;Frequently;Frequently;N/A;N/A;Occasionally;Familiarity with Corporate Incident Management Database systems$$$%%%&&&Proficiency with the Suite of Microsoft Office Products$$$%%%&&&Knowledge of Recognized Incident Investigation best practises $$$%%%&&&Knowledge of Modern Safety Management practices$$$%%%&&&Excellent interpersonal and team work skills$$$%%%&&&Process Opeartional experience;Familiarity with Corporate Incident Management Database systems$$$%%%&&&Knowledge of Recognized Incident Investigation best practises $$$%%%&&&Knowledge of Modern Safety Management practices$$$%%%&&&Excellent interpersonal and team work skills$$$%%%&&&Process Opeartional experience;Proficiency with the Suite of Microsoft Office Products;N/A;N/A;Occasionally;Occasionally;Occasionally;;N/A;Occasionally;N/A;Occasionally;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;"Provide coaching, mentoring and technical support to varying levels of Operations Supervision in the interpretation of the sites HS&ER procedures, safe work practices, codes, standards, and regulations.$$$%%%&&&Support Operations Supervision and other HLU departments in monitoring for compliance to site policies and practices through scheduled audits, inspections, and procedure compliance reviews.$$$%%%&&&Perform independent audits as deemed necessary to ensure compliance to HLU or Operations procedures, work practices or processes and site HS&ER policies. Monitor operations compliance to site policies and procedures. E.g. Safety checks.$$$%%%&&&Monitor for and address trends or issues related to compliance audit findings. $$$%%%&&&Provide compliance audit reports at regular intervals or as requested.$$$%%%&&&Where applicable act as a resource and consistent point of contact to the Business Unit for the clarification and identification of Operational safety concerns. Act as “go to” person for technical expertise, understanding of best practices, code or legislative requirements.$$$%%%&&&Lead the monthly Team Safety Representative meetings and attend quarterly Team meetings to assist representatives and team members in addressing team safety issues or improving knowledge and understanding.$$$%%%&&&Participate in scheduled Operations Department meetings; provide information and respond to concerns$$$%%%&&&Participate in or lead incident investigations, including issuing recommendations, ensuring communications and completion of action items when required. Document in CIMD.$$$%%%&&&Act as a resource to the Business Unit to clarify and identify Operational concerns. Liaise with the Operators in the units and Supervision; probe for HSE concerns. Participate in other groups safety meeting upon request to act as a reference and resource$$$%%%&&&Develop safe work plans and act as a resource for procedure development. $$$%%%&&&Maintain Operations Pool vehicle fleet and Operations rental vehicles as needed$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities"
43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Occasionally;;;Occasionally;Third class Power Engineering certification$$$%%%&&&Second class Power Engineering certification;Second class Power Engineering certification;Third class Power Engineering certification;;;;N/A;Occasionally;Occasionally;N/A; 21-Dec-16;HLU - Operations;;Occasionally;Minimum of 10 years operating experience (Including panel operation) in Refinery or Upgrader$$$%%%&&&Previous Husky Lloydminster Upgrader operating experience;Previous Husky Lloydminster Upgrader operating experience;Minimum of 10 years operating experience (Including panel operation) in Refinery or Upgrader;;;;;;;;;;;;Occasionally;Occasionally;Occasionally;N/A;N/A;Lloydminster, Saskatchewan;N/A;N/A;Occasionally;;Frequently;Occasionally;Frequently;N/A;N/A;Occasionally;Under the direction of the Operations Superintendent, the Shift Supervisor provides the Process Technician Field and Process Technician Panel Operators with direction and supervision to achieve operations objectives.  This includes overseeing daily activities, scheduling and training. This role works with other team's Shift Supervisors and various HLU departments.;;;;;;N/A;Shift Supervisor;N/A;N/A;Superintendent HLU Operations;;;Occasionally;;;;;Yes;;Occasionally;Frequently;Constantly;N/A;Occasionally;Strong organizational and leadership skills with a focus towards continuous improvement$$$%%%&&&Excellent interpersonal, teamwork, and facilitation skills$$$%%%&&&Strong troubleshooting and decision-making abilities$$$%%%&&&Proficiency with Microsoft Word, Excel, and Internet Explorer;;Strong organizational and leadership skills with a focus towards continuous improvement$$$%%%&&&Excellent interpersonal, teamwork, and facilitation skills$$$%%%&&&Strong troubleshooting and decision-making abilities$$$%%%&&&Proficiency with Microsoft Word, Excel, and Internet Explorer;30+ Operators - Process Technician Field, Process Technician Panel, Back up Shift Supervisor;N/A;Occasionally;Occasionally;Occasionally;;N/A;Occasionally;N/A;Occasionally;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;Manage Team and individual performance ensuring safe operations while meeting production targets.$$$%%%&&&Manage schedule to ensure that a trained person staffs each Post daily, while monitoring Operator vacation allotment to minimize incurring overtime.$$$%%%&&&Monitor task completion by visiting work sites to assess progress, and ensuring all items are identified in Daily Order Books, daily maintenance schedule, STP, etc and are completed for the requested date.$$$%%%&&&Ensure troubleshooting is adequate, and if work requests are required, monitor proper coding and adequate detail.$$$%%%&&&Liaise between Maintenance, Engineering, Area Coordinators, and shift operators.  Discuss maintenance activities, in detail, with day personnel.$$$%%%&&&Manage Operator training such that team and individual training needs are met and hourly allotments are used by year-end.$$$%%%&&&Maintain and update Post training plan to meet operator-to-post targets.$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Occasionally;;;Occasionally;Post-secondary student enrolled in a recognized institution;;Post-secondary student enrolled in a recognized institution;Valid safety certificates would be an asset (training will be provided if necessary)$$$%%%&&&Valid driver's license;Valid safety certificates would be an asset (training will be provided if necessary);Valid driver's license;Occasionally;;Occasionally;; 21-Dec-16;HLU - Operations;;Occasionally;;;;Physically fit$$$%%%&&&Self-motivated$$$%%%&&&Able to work with minimal supervision;Self-motivated$$$%%%&&&Able to work with minimal supervision;Physically fit;;;;;;;;;Occasionally;Occasionally;Occasionally;Occasionally;;HLU;Occasionally;Occasionally;Occasionally;;;Occasionally;Occasionally;;;Occasionally;;;;;;;;Summer Student - Fire Hall;;Occasionally;Operations Training & Safety Team Lead;;;;;;;;Yes;;;Occasionally;;;Frequently;Basic PC proficiency and proficiency with MS Office;Basic PC proficiency and proficiency with MS Office;;N/A;;Occasionally;;Occasionally;;;Frequently;;Occasionally;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Fire Hall maintenance$$$%%%&&&Fire hose testing$$$%%%&&&Fire training ground maintenance$$$%%%&&&Fire truck maintenance$$$%%%&&&SCBA/ SABA cleaning$$$%%%&&&Assist with annual fire extinguisher and SCBA/ SABA maintenance$$$%%%&&&Fire hydrant maintenance program$$$%%%&&&WHMIS labeling$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frequently;;;Occasionally;First year graduate (4th Class Steam Certificate) of a 2 year power engineering program$$$%%%&&&Grade 12 graduate;;First year graduate (4th Class Steam Certificate) of a 2 year power engineering program$$$%%%&&&Grade 12 graduate;4th Class Steam certificate$$$%%%&&&Valid safety certificates would be an asset (training will be provided if necessary)$$$%%%&&&Valid driver's license;Valid safety certificates would be an asset (training will be provided if necessary);4th Class Steam certificate$$$%%%&&&Valid driver's license;Occasionally;Occasionally;Frequently;Occasionally; 21-Dec-16;HLU - Operations;;Frequently;;;;Mechanical aptitude and troubleshooting abilities$$$%%%&&&Ability to thrive in a team environment$$$%%%&&&Strong commitment to Health, Safety and the Environment$$$%%%&&&Physically fit$$$%%%&&&Self-motivated$$$%%%&&&Able to work with minimal supervision;Mechanical aptitude and troubleshooting abilities$$$%%%&&&Ability to thrive in a team environment$$$%%%&&&Strong commitment to Health, Safety and the Environment$$$%%%&&&Self-motivated$$$%%%&&&Able to work with minimal supervision;Physically fit;;;;;;;;;Frequently;Occasionally;Occasionally;Occasionally;Occasionally;Lloydminster, Saskatchewan;Frequently;Occasionally;Frequently;;Frequently;Frequently;Occasionally;N/A;Frequently;Frequently;Successful candidate will obtain valid TSASK / ABSA applicable steam time. Responsible for the safe operation of a process operating area. Includes operation of all types of equipment, pumps, compressors and control panel consoles. ;;;;;;N/A;Summer Student - Process;N/A;Occasionally;Shift Supervisor;;;Frequently;;;;;Yes;;Occasionally;Occasionally;Constantly;N/A;Frequently;Basic PC proficiency and proficiency with MS Office;Basic PC proficiency and proficiency with MS Office;;N/A;Constantly;Occasionally;N/A;Frequently;;N/A;Frequently;N/A;Occasionally;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Monitoring process variables and equipment parameters, abnormal conditions and carrying out appropriate changes$$$%%%&&&Providing suggested causes and solutions to abnormal operating situations$$$%%%&&&Performing minor on shift routine maintenance and housekeeping duties$$$%%%&&&Prepare plant equipment for maintenance, and issue and ensure completion of safe work permits$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Minimum 3rd Class Power Engineering Certificate$$$%%%&&&H2S Alive Certification$$$%%%&&&Valid Driver's License$$$%%%&&&Confined Space Entry Certification;;Minimum 3rd Class Power Engineering Certificate$$$%%%&&&H2S Alive Certification$$$%%%&&&Valid Driver's License$$$%%%&&&Confined Space Entry Certification;;;;; 21-Dec-16;HLU - Operations;;;10 years progressive experience in a Refining or a Heavy Oil Upgrading facility$$$%%%&&&Current awareness of technological advancements in Heavy Oil Upgrading or Refining technologies;;10 years progressive experience in a Refining or a Heavy Oil Upgrading facility$$$%%%&&&Current awareness of technological advancements in Heavy Oil Upgrading or Refining technologies;Minimum 5 years experience managing a team of 5 or more$$$%%%&&&Technical training in plant operation and design;Technical training in plant operation and design;Minimum 5 years experience managing a team of 5 or more;;;;;;;;;;;;;;HLU Complex;;;;;;;;;;;As one of two Operations Superintendents of the Husky Lloydminster Upgrader, this individual will coordinate and share the responsibility of ensuring the safe, efficient, and reliable operation of the Upgrader.  As part of the Plant Leadership Team, this individual will be responsible for providing leadership to the facility by managing day-to-day operations.  Major duties that would be required involve management participation, technical review and involvement, and assistance with the administration of the facility.  ;;;;;;;Superintendent;;;Manager of Operations for the HLU;;;;;;;;Yes;;;;;;;Strong computer skills (Excel, Word,SAP, ParcView, Cimage, Outlook)$$$%%%&&&Proven innovative skills and creative thinking$$$%%%&&&Excellent interpersonal, teamwork, and communication skills$$$%%%&&&Ability to organize and prioritize work of a multi-disciplined Operations team$$$%%%&&&Strong leadership and supervisory skills with the ability to coach, motivate and develop personnel into a team working to meet and exceed objectives$$$%%%&&&Strong troubleshooting and decision making abilities as well as a proven business sense;;Strong computer skills (Excel, Word,SAP, ParcView, Cimage, Outlook)$$$%%%&&&Proven innovative skills and creative thinking$$$%%%&&&Excellent interpersonal, teamwork, and communication skills$$$%%%&&&Ability to organize and prioritize work of a multi-disciplined Operations team$$$%%%&&&Strong leadership and supervisory skills with the ability to coach, motivate and develop personnel into a team working to meet and exceed objectives$$$%%%&&&Strong troubleshooting and decision making abilities as well as a proven business sense;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Provide leadership, mentoring and supervision to direct reports to maximize employee performance and plant production$$$%%%&&&Assist and provide direction to the Operations Training Department with promoting a learning environment ensuring training requirements are met$$$%%%&&&Coordinate day to day and medium term Operations of the Plant$$$%%%&&&Respond to plant emergencies as per designated Emergency Response Plan roles$$$%%%&&&Assume a lead role in Plant recovery following outages$$$%%%&&&Review and approve all Plant process physical changes$$$%%%&&&Assign resources to carry out Operations responsibilities during major outages$$$%%%&&&Monitor progress and provide assistance as required during turnarounds and outages$$$%%%&&&Proactively work with Maintenance, Engineering, Production Planning, Financial Services and Procurement to optimize production, identify opportunities and reduce costs$$$%%%&&&Assign resources to assist with Incident Investigations to ensure timely completion$$$%%%&&&Work collaboratively with additional Operations Superintendent on items such as:  scheduling, PPRP prep/review, staffing, performance management, contracts, safety, procedures, budget preparation, etc.$$$%%%&&&Assist with prioritizing of Engineering Work Requests and the identification of priority projects. $$$%%%&&&Ensure safe work practices, company policies & procedures compliance, and all Provincial & Federal applicable laws & regulations are followed$$$%%%&&&Ensure cost controls are monitored and schedules are implemented and followed$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Has, or is working towards, Certificate in Adult Education, or has a combination of skills and experience that demonstrate training function management, instruction, and the application of adult learning principles;;Has, or is working towards, Certificate in Adult Education, or has a combination of skills and experience that demonstrate training function management, instruction, and the application of adult learning principles;Certified Health and Safety Consultant (CHSC) designation (or working towards) would be a distinct asset$$$%%%&&&Strong safety background would be a definite asset;Certified Health and Safety Consultant (CHSC) designation (or working towards) would be a distinct asset$$$%%%&&&Strong safety background would be a definite asset;;;;;; 21-Dec-16;HLU - Operations;;;Understanding of the training needs of Oil and Gas industry midstream business units and at least ten years experience in this setting;;Understanding of the training needs of Oil and Gas industry midstream business units and at least ten years experience in this setting;;;;;;;;;;;;;;;;;HLU;;;;;;;;;;;The successful candidate is responsible for supervising the Operations Training and Safety employees, and is responsible for the Operations Training Simulator.  A high degree of initiative towards continuous improvement opportunities is required.;;;;;;;Training & Safety Team Lead;;;Operations Superintendents;;;;;;;;<Click to select>;;;;;;;Excellent communication and negotiation skills$$$%%%&&&Excellent planning and decision making skills, with the ability to meet deadlines$$$%%%&&&Ability to multi-task and respond to constantly changing needs and schedules$$$%%%&&&Good knowledge of Microsoft Office applications;;Excellent communication and negotiation skills$$$%%%&&&Excellent planning and decision making skills, with the ability to meet deadlines$$$%%%&&&Ability to multi-task and respond to constantly changing needs and schedules$$$%%%&&&Good knowledge of Microsoft Office applications;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;Provide direction, coaching, and mentoring for direct reports$$$%%%&&&Oversee the administration of the Operations new-hire inception program, and identify and implement improvement opportunities$$$%%%&&&Manage and coordinate the scheduling and placement of Power Engineering practicum students. $$$%%%&&&Champion initiatives that support Power Engineers, such as sitting on Lakeland College’s Advisory Committee$$$%%%&&&Ensure employee training is compliant with legislation$$$%%%&&&Ensure the HLU emergency response teams are competently trained and qualified to respond to emergency situations$$$%%%&&&Ensure the HLU fire fighting and emergency response equipment is maintained in a state of readiness$$$%%%&&&Ensure Operations and Maintenance staff understands and are compliant with the site-specific safety procedures while performing their day-to-day activities$$$%%%&&&Assign costs to appropriate cost centers, and approve requisitions$$$%%%&&&Maintain the HLU Operation’s Training Simulator software and hardware$$$%%%&&&Work with Operations and Operation’s support groups to keep the simulated panels current$$$%%%&&&Oversee the coordination, direction, and administration of panel operator training with regards to the HLU Operations Training Simulator$$$%%%&&&Oversee the panel operator performance and knowledge evaluation process$$$%%%&&&Responsible for the design, implementation, administration, and evaluation of the Operations and Maintenance competency-based training program$$$%%%&&&Oversee the coordination of regular Saskatchewan Boiler’s Branch examinations$$$%%%&&&Improve the accuracy of Operations procedures, training manuals, and handbooks continuously$$$%%%&&&Manage and coordinate the manpower requirements for Operation’s special projects such as procedure development, alarm management, and asset reliability$$$%%%&&&Ensure Operation’s fleet of detectors, radios, and trucks are maintained in a state of readiness$$$%%%&&&Complies with all HS&E requirements in the performance of this Position's responsibilities
