;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CP;ER;EI;TS
10; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Human Resources Administrator, Learning Management System;Team Lead, Organizational Effectiveness;No;;In this role, you will work with the Senior Competency and Learning Management Advisors to help set the foundation for learning management across the organization. This will include providing key support across the business for training related data, managing all aspects of the LMS, identifying technical issues, leading the LMS training administrators learning network and establishing training development standards and templates for LMS user groups.;Managing Husky's enterprise -wide Learning Management System (LMS)	- managing master data for LMS (structuring and maintaining course catalogue, qualifications 	catalogue and task catalogue, defining Course master data, supporting master data relating 	to all catalogues) 	- managing personnel data related to training 	- assigning and maintaining system roles$$$%%%&&&Coordinating LMS system setup for clients, project leads and management$$$%%%&&&Managing business processes between LMS and site level training activities$$$%%%&&&Supporting site level Training Administrators and end users serving as escalation point (to HRIS/IS) for complex support issues/questions$$$%%%&&&Training site level Training Administrators and end users$$$%%%&&&Qualifying system administrators, verifying that skills have been met, coaching and mentoring Training Administrators$$$%%%&&&Developing LMS Training Administrator's group user training materials and guides$$$%%%&&&Supporting the business development of training materials, corporate system templates and company standards$$$%%%&&&Liaising with 3rd party training developers and internal business stakeholders$$$%%%&&&Using LMS authoring tool to publish courses to system$$$%%%&&&Compiling reports on LMS performance for stakeholders$$$%%%&&&Researching and reporting on LMS best practices$$$%%%&&&Interviewing business to gather business requirements$$$%%%&&&Analyzing 'internal customer' feedback and following up to ensure end-user satisfaction with LMS$$$%%%&&&Analyzes and recommends best practice solutions to any requests or related issues with LMS system and training activity configurations.$$$%%%&&&Working with Sr. Advisor, Competency and Learning Management to continuously improve business processes and systems related to training and competency;Degree or Diploma in related field$$$%%%&&&Adult Learning certificate is seen as an asset;Software User Training Development;Minimum of 3 years experience in Trainer for all LMS functionality$$$%%%&&&Minimum of 3 years experince as a LMS Administrator$$$%%%&&&Experienced in SAP Training & Events$$$%%%&&&Experience with virtual learning environments$$$%%%&&&Adobe Captivate experience;Minimum of 3 years of Oil and Gas industry experience;Authoring tools (e.g. Adobe Connect, DreamWeaver, Flash, etc.)$$$%%%&&&Authoring environment (built tests, assessments, learning materials)$$$%%%&&&Experience in publishing courses to LMS$$$%%%&&&Communicate & liaise with multiple sets of stakeholders$$$%%%&&&Manage time effectively$$$%%%&&&Organize work and prioritize in fast-paced environment$$$%%%&&&Take initiative to improve business processes related to training
11; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Senior Human Resources Advisor, Competency & Learning Management;Team Lead, Organizational Effectiveness;No;;This role will be responsible for working closely with our various internal business units to support the design and implementation a number of key standards and processes within Husky. This includes the development of job profiles/descriptions, competency-based based assessments and training as well as the evaluation of competency-based learning programs within the organization. It will also involve assisting with the design and implementation of a Learning Management System(s) to track and support the above processes. While this new role will be largely operationally focused to start, it will have enterprise-wide impact and reach.;Assist in the design and implementation of an effective strategy and project plan that aligns with the Husky Operational Integrity Management System (HOIMS) Element 6 framework and purpose that includes:	- job profiles 	- individual assessments 	- training and development 	- course/program evaluation$$$%%%&&&Support the design and implementation of an enterprise-wide Learning Management System(s)$$$%%%&&&Assist in tracking the metrics used to determine the successful implementation of HOIMS Element 6$$$%%%&&&Help guide the change management and process improvement effort as part of the Element 6 roll-out$$$%%%&&&$$$%%%&&&;Training and/or certification in curriculum design and delivery (or equivalent adult learning training/certification);;Operational background and experience is a definite asset (especially field experience)$$$%%%&&&Minimum 2 years' directly related experience as a learning specialist (preferably field focused)$$$%%%&&&Background/experience in measurement and process improvement;;Good overall understanding of competency design and development, learning management and learning principles at an organizational level$$$%%%&&&Strong communication and interpersonal skills to promote the implementation and roll-out of Element 6 standards and processes$$$%%%&&&Demonstrated ability to navigate large scale change in an organization - both process and culture based$$$%%%&&&Strong facilitation, training and presentation skills with superior problem-solving skills$$$%%%&&&Excellent planning and organizing skills$$$%%%&&&Able to take initiative with the ability to think and plan proactively
12; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Senior Diversity Advisor;Manager, Human Resources Talent Management & Diversity;No;;The candidate will report to the Manager of Talent Management and Diversity and provide support to the Company on a wide range of diversity and respectful workplace related matters.;Overseeing the strategic direction and coordination of all diversity and respectful workplace initiatives$$$%%%&&&Consulting and liaising with management on implementation of DRW related business unit objectives$$$%%%&&&Developing new training programs and overseeing the ongoing deployment of existing training programs including the web-based respectful workplace training.$$$%%%&&&Providing leadership and direction to the Diversity & Respectful Workplace Council Including recruiting, training, educating and coaching Council members as well as the coordination and facilitation of the bi-annual Council meetings$$$%%%&&&Collaborating with Corporate Communications in the development and distribution of communication materials in respect of Husky's diversity and respectful workplace program$$$%%%&&&Collaborating with other HR team members in developing and implementing diversity and respectful workplace programs throughout the Company.;An undergraduate degree in Business or equivalent professional level work experience;;A general knowledge and understanding of Human Resource functions and processes as well as related legislation (including human rights)$$$%%%&&&An understanding and commitment to Husky's diversity and respectful workplace principles and practices;;"Competency in Microsoft Office Suite$$$%%%&&&Progressive and forward thinking with the ability to influence and lead change by building and maintaining effective relationships with internal and external stakeholders.$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training$$$%%%&&&Strong problem solving skills combined with demonstrated success in planning and implementing projects$$$%%%&&&Interest-based negotiation and mediation skills$$$%%%&&&Ability to work with dispersed and virtual teams as well as independently$$$%%%&&&Must be able to multi-task and be flexible"
13; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Team Lead, Diversity & Inclusion;Manager, Human Resources Talent Management & Diversity;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
14; 8-Nov-12;Total Rewards;Calgary, AB;Human Resources Analyst, Benefits & Retirement;Team Lead, Health, Benefits & Retirement;No;;;"Perform independent research, gathering data, compiling results and performing basic analysis from which recommendations may follow.$$$%%%&&&Maintain and develop accurate records and reports supporting initiatives within the Health, Benefit and Retirement Team.$$$%%%&&&Identify and assist in the design and implementation of components within benefits programs; including processes and policy.$$$%%%&&&Provide related guidance pertaining to benefit policy, process and administration to others within and outside the HR Department as required.$$$%%%&&&Provide support and assistance in the development of recommendations, training tools, guidelines and policy documentation on matters relating to benefits.$$$%%%&&&Coordinate and support Husky's new hire orientation programs and annual benefit renewal initiatives, in support of employee services, communication and education initiatives.$$$%%%&&&Address client questions and queries related to benefits, pension, various leaves and administration.$$$%%%&&&Liaise with insurance providers and related venders.$$$%%%&&&Interact with beneficiaries regarding death claims, paperwork and the coordination of associated changes.$$$%%%&&&Conduct monthly administrative tasks as required, specific to the Benefit plans.";A Post Secondary education in Human Resources or related field.;Certified Employee Benefit Specialist (CEBS) or related designation would be a definite asset.;A minimum 5 years' experience in group benefits and pension management or equivalent experience related to supplemental health, dental and health care expense accounts, group life and disability insurance.$$$%%%&&&An understanding of compliance issues, various benefit funding and underwriting methods.$$$%%%&&&Understanding of Group retirement plans (Pension and RRSP etc.) and related governance would be an asset.;;Excellent written, verbal communication and Microsoft Office (Excel, Word, PowerPoint) skills.$$$%%%&&&SAP experience would be an asset.$$$%%%&&&Well-developed presentation skills sufficient to convey both factual and conceptual information requiring detailed explanation and interpretation to staff.$$$%%%&&&Ability to effectively manage multiple priorities, tasks and deadlines.$$$%%%&&&Detail oriented individual who can work both in a team environment and independently as required.
15; 8-Nov-12;Total Rewards;Calgary, AB;Human Resources Analyst, Benefits;Team Lead, Health, Benefits & Retirement;No;;;"Perform independent research, gathering data, compiling results and performing basic analysis from which recommendations may follow.$$$%%%&&&Maintain and develop accurate records and reports supporting initiatives within the Health, Benefit and Retirement Team.$$$%%%&&&Identify and assist in the design and implementation of components within benefits programs; including processes and policy.$$$%%%&&&Provide related guidance pertaining to benefit policy, process and administration to others within and outside the HR Department as required.$$$%%%&&&Provide support and assistance in the development of recommendations, training tools, guidelines and policy documentation on matters relating to benefits.$$$%%%&&&Coordinate and support Husky's new hire orientation programs and annual benefit renewal initiatives, in support of employee services, communication and education initiatives.$$$%%%&&&Address client questions and queries related to benefits, pension, various leaves and administration.$$$%%%&&&Liaise with insurance providers and related venders.$$$%%%&&&Interact with beneficiaries regarding death claims, paperwork and the coordination of associated changes.$$$%%%&&&Conduct monthly administrative tasks as required, specific to the Benefit plans.";A Post Secondary education in Human Resources or related field.;Certified Employee Benefit Specialist (CEBS) or related designation would be a definite asset.;A minimum 5 years' experience in group benefits and pension management or equivalent experience related to supplemental health, dental and health care expense accounts, group life and disability insurance.$$$%%%&&&An understanding of compliance issues, various benefit funding and underwriting methods.$$$%%%&&&Understanding of Group retirement plans (Pension and RRSP etc.) and related governance would be an asset.;;Excellent written, verbal communication and Microsoft Office (Excel, Word, PowerPoint) skills.$$$%%%&&&SAP experience would be an asset.$$$%%%&&&Well-developed presentation skills sufficient to convey both factual and conceptual information requiring detailed explanation and interpretation to staff.$$$%%%&&&Ability to effectively manage multiple priorities, tasks and deadlines.$$$%%%&&&Detail oriented individual who can work both in a team environment and independently as required.
16; 8-Nov-12;Total Rewards;Calgary, AB;Senior Human Resources Advisor, Health & Disability Management;Team Lead, Health, Benefits & Retirement;No;;;Managing Husky’s disability programs (i.e. STD, LTD and WCB)$$$%%%&&&Administering and coordinating company provisions outlined in disability policies, including: Husky’s LTD provisions and\or WCB processes for employees experiencing occupational or non-occupational illness \ injuries. [from referrals to medical providers to coordinating benefits (sick leave pay \ provisions)]$$$%%%&&&Coordinating Husky’s Duty to Accommodate when an employee returns to work from sick leave, WCB or LTD$$$%%%&&&Promoting early intervention and rehabilitation from illness or injury$$$%%%&&&Providing a proactive and positive approach to health promotion and illness/injury management$$$%%%&&&Coordinating the efforts of stakeholders falling under the program$$$%%%&&&Assisting\guiding Supervisors on process, best practices and obtaining critical information when employees are on sick leave$$$%%%&&&Providing guidance and expertise to internal groups, including the HR Client Advisors, and Managers, on matters related to health related absences and issues$$$%%%&&&Providing leadership and direction on the day-to-day activities of health administration, including Time administration, key milestones monitored\tracked, clear and timely communication sent to employees on process \ obligations$$$%%%&&&Primary liaison and coordinator with Husky’s Health Services Providers and WCB$$$%%%&&&Responsibility for ensuring an effective pre-employment medical process, including providing guidance on Drug and Alcohol screening$$$%%%&&&Educating Husky Managers and Supervisors on the sick leave program and processes, and Drug and Alcohol Policy (including formal group presentations)$$$%%%&&&Corporate contact for WCB disability matters;A university degree, or equivalent, would be beneficial as would training specific to disability/health management;A CHRP designation is an asset;A minimum 5 years' experience working in a disability management role coordinating return to work and/or managing duty to accommodate process, OR$$$%%%&&&A minimum 5 years' HR generalist experience which includes: knowledge of offer process, constructive dismissal, Human Rights obligations, duty to accommodate$$$%%%&&&Additionally, a minimum 2 years' experience with Husky HR to understand internal processes including: approval process for positions (position management), compensation program\process, and coordinating internal transfers, etc. would be an asset$$$%%%&&&Experience working with staff at all levels within a medium/large organization, is a requirement;Knowledge of oil and gas field operations would be beneficial;"Strong computer skills, including Word, Excel and PowerPoint$$$%%%&&&Exposure to SAP (or similar HRIS) is an asset$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation$$$%%%&&&Exceptional consulting, facilitation, and influencing skills$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Use initiative to independently recommend solutions based on logical assumptions and analysis of facts/data while considering constraints and impacts on the organization$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Capable of managing a large number of active \ shared files$$$%%%&&&Able to maintain effectiveness in varying environments and with different tasks, responsibilities and people$$$%%%&&&Ability to build critical relationships, but at the same time “stand firm” when appropriate, protecting Husky’s interests and legal responsibilities$$$%%%&&&Excellent oral, written, and listening communication skills; ability to prepare clear and concise reports; the ability to deliver formal presentations"
17; 8-Nov-12;Total Rewards;Calgary, AB;Team Lead, Health, Benefits & Retirement;Manager, Total Rewards;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;
18; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Human Resources Business Partner;Manager, Human Resources, Business Partners;No;;;Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the HR Business Partner team, which meets weekly to enable 	shared learnings and foster a positive and collaborative work environment$$$%%%&&&$$$%%%&&&;An undergraduate degree in Business or equivalent professional level work experience;CHRP designation would be an asset;Minimum 5 years of strategic HR experience$$$%%%&&&HR experience with Finance would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization"
19; 6-Nov-12;Human Resources Business Martners;Calgary, AB;Human Resources Business Partner, Team Lead;Manager, Human Resources Business Partners;No;;;Performance Management:	- Set and align performance metrics to the goals 	- Provide coaching guidance and feedback on a regular basis$$$%%%&&&Leadership:	- Coach and mentor the team members in achieving goals and ongoing development 	- Strategic partner to the Senior VP in achieving short and long tem business objectives 	- Assist in the coordination of the overall HR plans for the business unit$$$%%%&&&Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the Total Rewards & HR Business Partners team, which meets 	weekly to enable shared learning and foster a positive and collaborative work environment;An undergraduate degree in Business or equivalent professional level work experience;CHRP designation would be an asset;Minimum 10 years experience as a HR Advisor/Business Partner and at least 3 years in a supervisory capacity$$$%%%&&&HR experience with Health, Safety, and Environment and/or Information Services or Technology would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Strong understanding of HR processes and how they support the business$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization"
20; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Senior Human Resources Business Partner;Manager, Human Resources, Business Partners;No;;;Talent Management:	- Drive the company's Succession Management and Career Development programs 	- Work collaboratively with the Recruitment Advisors to recruit top talent for the organization 	- Provide best practice advice on organizational design and change management 	- Act as a champion for the company's Diversity and Respectful Workplace programs, 	ensuring the principles of workforce diversity are integrated into HR practices$$$%%%&&&Employee Relations:	- Advise management on Husky's Performance Management Policy and Practices and act as 	the lead on the resulting actions 	- Partner with your organization's management team to resolve complex HR issues as they 	arise and provide coaching where required to ensure a positive outcome 	- Act as a resource for the client group in the interpretation and implementation of policies 	and procedures$$$%%%&&&Total Rewards:	- Deliver Husky's annual compensation review program to managers and supervisors, 	ensuring rewards are applied fairly and consistently 	- Lead all compensation discussions within your client group$$$%%%&&&Projects, Reporting, Other:	- Independently manage complex HR projects as assigned including: develop solutions, 	create action plans, communication and change management strategies for the project 	- Participate as part of the Human Resources team to provide the Husky management team 	with reports and other decision-making tools 	- Act as a key member of the HR Business Partner team, which meets weekly to enable 	shared learnings and foster a positive and collaborative work environment$$$%%%&&&$$$%%%&&&;An undergraduate degree in Business or equivalent professional level work experience;CHRP designation would be an asset;Minimum 5 years of strategic HR experience$$$%%%&&&HR experience with Finance would be an asset$$$%%%&&&Experience in compensation, organizational design and effectiveness and employee relations strategy development$$$%%%&&&Thorough knowledge of applicable employment standards and related legislation;;"Strong business acumen; ability to add value vs. provide tactical support$$$%%%&&&Highly skilled in the use of MS Office (Word, Excel, PowerPoint) is required.$$$%%%&&&Knowledge of SAP (or similar HRIS) and Taleo (recruitment management system) would be assets.$$$%%%&&&Progressive and forward thinking with the ability to influence$$$%%%&&&Ability to take on a leadership role, building trust and respect from your client group$$$%%%&&&Able to make sound judgments requiring confidentiality, tact, and diplomacy$$$%%%&&&Strong understanding of change management$$$%%%&&&Excellent organizational and planning skills to set and exceed established goals, schedules, and deadlines$$$%%%&&&Excellent oral, written, and listening communication skills; develop clear and concise recommendations; the ability to deliver formal presentations or training to all levels of the organization"
21; 6-Nov-12;Talent Management & Diversity;Calgary, AB;Organizational Effectiveness Advisor;Team Lead, Organizational Effectiveness;No;;In this role, you will be responsible for managing and growing a number of key programs including (but not limited to) Husky's (vendor delivered) Leadership Development and Business Skills programs and Performance Management program. All programs are enterprise wide and offer both a rich breadth and depth of experience in the OE field for those looking to grow their career in this area. It will also include responding to internal client requests for team building, change management, strategic planning, assessment and facilitation.;Identify and develop approaches (interventions) to improve team effectiveness and/or achieve strategic business unit objectives (e.g., strategic planning, organizational design)$$$%%%&&&Assist leaders with coaching and strategies regarding leadership, teambuilding, performance management, employee development and change management$$$%%%&&&Diagnose key issues and business processes to ensure OE programs and processes are aligned to business needs and helping to achieve organizational goals$$$%%%&&&Apply a structured change management approach to support project success and execution$$$%%%&&&Source and evaluate learning resources inside and outside the organization and make recommendations on whether to build or buy$$$%%%&&&Consult with subject matter experts on the development and delivery of leadership and business training courses$$$%%%&&&Organize, develop and help deliver OE-related events (i.e. Leader's meetings, Learning Forums, Lunch & Learn Sessions)$$$%%%&&&Stay abreast of OE-related theories, techniques and best practices and incorporate these into initiatives as appropriate$$$%%%&&&Assist leaders to form and sustain internal networks and Communities of Practice in support of our leadership development efforts;Bachelor's degree or diploma in an OE related discipline (e.g., HR, Organization Development, Psychology, Business Administration);;3 to 5 years experience in an OE or closely related role;;"Strong verbal, written and interpersonal communication skills$$$%%%&&&Ability to multi-task and manage priorities and multiple projects in a fast paced, changing environment$$$%%%&&&Dedicated to innovation and continuous improvement$$$%%%&&&Strong presentation skills with an ability to influence$$$%%%&&&Experience with excel, power point and word$$$%%%&&&Openness to feedback and coaching; strong willingness to learn$$$%%%&&&Ability to diagnose and solve (root-cause) problems$$$%%%&&&Ability to design and develop training sessions, programs and/or change management strategies to address business needs or support talent management program implementation$$$%%%&&&Able to work cross-functionally with a collaborative mindset"
