; Extreme heat/cold:;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Rotating equipment:;Safety-Sensitive:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
21;;;A Bachelors Degree in Engineering$$$%%%&&&Masters or Doctorate;Masters or Doctorate;A Bachelors Degree in Engineering;A Professional engineering status;;A Professional engineering status;;;;; 25-Jun-12;Block 29/26 Liwan Project;;A minimum of 15 years experience in subsea developments and operations$$$%%%&&&Familiarity with subsurface and reservoir engineering relating to field development$$$%%%&&&Proven track record as leader in international offshore project environment$$$%%%&&&A minimum of 15 years experience working physically offshore in operations;;A minimum of 15 years experience in subsea developments and operations$$$%%%&&&Familiarity with subsurface and reservoir engineering relating to field development$$$%%%&&&Proven track record as leader in international offshore project environment$$$%%%&&&A minimum of 15 years experience working physically offshore in operations;"A minimum of 20 years experience in offshore operations management on a global basis$$$%%%&&&An excellent, proven practical understanding of project and cost management principles and best practices$$$%%%&&&Knowledge of up to date Risk Management practices$$$%%%&&&A minimum of 5 years living and working outside the candidate's ""home country""";;"A minimum of 20 years experience in offshore operations management on a global basis$$$%%%&&&An excellent, proven practical understanding of project and cost management principles and best practices$$$%%%&&&Knowledge of up to date Risk Management practices$$$%%%&&&A minimum of 5 years living and working outside the candidate's ""home country""";;;;;;;;;;;;;;;;;;Operations Superintendent - Liwan;;;Vice President, Liwan Project;;<Click to select>;;;;;;Proven communication and team building skills$$$%%%&&&Above average written and spoken English skills$$$%%%&&&Ability to read and speak Mandarin$$$%%%&&&An external network within the offshore engineering and operations community;Ability to read and speak Mandarin$$$%%%&&&An external network within the offshore engineering and operations community;Proven communication and team building skills$$$%%%&&&Above average written and spoken English skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;"Provide operations input into the Liwan Development functional and detailed design$$$%%%&&&Champion operational integrity which contains 14 elements of well-defined aims and expectations to effectively manage risks associated with the business and create a safe and secure workplace. Ensure understanding and compliance of all operational integrity objectives$$$%%%&&&Ensure appropriate operational inputs to technical, scope, cost estimate and management reviews/audits and follow up on assigned actions$$$%%%&&&Establish HSE objectives and metrics, ensuring a progressive culture is maintained towards accountability around accomplishing agreed upon targets.$$$%%%&&&Report and regularly communicate issues of critical importance to the Liwan Sr Project Manager, Husky South East Asia.$$$%%%&&&Provide input to the relevant sections of the Overall Development Plan (ODP) for the project; fully support the business unit in the approval process$$$%%%&&&Manage, review and approve relevant FEED Contractor deliverables ensuring all deliverables meet operational requirements$$$%%%&&&Develop apex cost estimates for the Development as input into budgets and economic models$$$%%%&&&Provide input to the deepwater subsea facilities design and resource development strategies. Employing Husky's philosophy on asset integrity and loss prevention, ensure that operability and maintainability are incorporated in all decisions$$$%%%&&&Ensure operations is fully integrated to ensure the offshore fields are optimally developed to fully recover hydrocarbons reserves in the most economic manner, so that the development plan is fit for purpose and operationally sound$$$%%%&&&Develop site specific Operations and Maintenance philosophy and strategies$$$%%%&&&Develop Commissioning and Start-Up Procedures, manage and implement all operations readiness activities to meet first gas requirements$$$%%%&&&Develop and implement a recruiting strategy, staffing plans, budgets and, as appropriate, commence recruiting and readiness for project execution$$$%%%&&&Ensure the safety of all staff and contractors on site during operations"
22;;;;;;;;;;;;; 3-Jul-12;Logistics Department;;;;;;;;;;;;;Shekou Office;;;;;;;;;;;;Operations Support Coordiantor;;;Supply Base Supervisor;;Yes;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Be responsible to manage the supply base operations required to ensure a successful support to the HOCL offshore E&P operations.$$$%%%&&&Ensure all activities at the shore base must be implemented in accordance with the National law, Husky HSE requirement, company policy and good business practice.$$$%%%&&&Work closely with the customer departments to ensure materials are expedited to location in a timely manner.$$$%%%&&&Plans, schedules and executes all day to day supply base operations.$$$%%%&&&Ensures the safe use and maintenance of materials handling equipment.$$$%%%&&&Attends the daily morning Drilling meetings$$$%%%&&&Maintains the supply base in accordance with company policies, standards and procedures and industry best practices. Strong technical skills, knowledge and qualifications in supply base operations, transportation and other logistics services, with basic accounting and administrational skills.$$$%%%&&&Supervises the safe/effective receipt of materials and equipment required to sustain MODU operations.$$$%%%&&&To ensure that the strategic and tactical shore base services are consistent with Procurement, Business Units, Internal Auditing and client goals and objectives.$$$%%%&&&To actively support logistics department and corporate goals.$$$%%%&&&Bring forward any strategic ideas with respect to shore base and / or inventory control processes for review by the logistics manager supporting offshore operations.$$$%%%&&&To identify, quantify and report cost saving opportunities concerning shore base operations.$$$%%%&&&Ensure safe operations through the pro-active management of HSE initiatives in the supply base including conducting periodic safety inspections of racking, materials handling equipment and materials handling operations. Promotes safe work practices and ensures high housekeeping standards.$$$%%%&&&Acts as the main supply base contact with responsibility for all routine activities and maintaining continuous and effective communications with the Logistics Manager to ensure the effective scheduling, receipt, loading and dockside delivery of equipment and materials.$$$%%%&&&Provides relevant support to the warehouse team and compiles and verifies the compilation of material movement documentation, including manifests, sub-contracting process in SAP and maintains comprehensive and accurate records, rental equipment and material movement to/from the installation.$$$%%%&&&Lead the Loading and offloading of Marine Vessel activity.$$$%%%&&&Compilation of the monthly and quarterly Waste Management Reports.$$$%%%&&&Negotiates and resolves issues / conflicts with on supply base support priorities, HSE or potential service interruptions.$$$%%%&&&Ensure proper maintenance checks are conducted on all materials handling equipment and maintain use and maintenance records.$$$%%%&&&Provide assistance or direction to warehouse related contractors, delivery drivers and other warehouse, or storage yard workers.$$$%%%&&&Confers with Drilling Engineering and Purchasing personnel and vendors regarding stock procurement, status and availability.
23;;;A Bachelor's Degree in Finance or Economics or equivalent;;A Bachelor's Degree in Finance or Economics or equivalent;Certified Public Accountant (CPA) or Chartered Financial Analyst (CFA) designation;;Certified Public Accountant (CPA) or Chartered Financial Analyst (CFA) designation;;;;; 3-Jul-12;Block 29/26 Liwan Project;;A minimum of 10 years' progressive experience in all aspects of project accounting and cost control in the oil and gas industry, preferably for Mega Projects$$$%%%&&&Recent experience in offshore deepwater projects$$$%%%&&&Excellent knowledge of oil and gas accounting and generally accepted accounting principles (both Western and Chinese GAAP);;A minimum of 10 years' progressive experience in all aspects of project accounting and cost control in the oil and gas industry, preferably for Mega Projects$$$%%%&&&Recent experience in offshore deepwater projects$$$%%%&&&Excellent knowledge of oil and gas accounting and generally accepted accounting principles (both Western and Chinese GAAP);Minimum of 5 years diversified financial and administrative experience in the area of international operations and project management$$$%%%&&&Experience in presenting to project management;;Minimum of 5 years diversified financial and administrative experience in the area of international operations and project management$$$%%%&&&Experience in presenting to project management;;;;;;;;;;;;;;;;The Project Accountant will ensure that project management has a full understanding of the financial performance of the Liwan 3-1 Project. The successful candidate will develop, implement and use accounting systems and procedures to effectively track, manage and record all business transactions and cost allocations on the Liwan project. ;;Project Accountant;;;Contracts & Project Controls Manager;;<Click to select>;;;;;;Established network of industry contacts within the offshore community$$$%%%&&&High level of attention to detail and arithmetic ability$$$%%%&&&Ability to build and maintain effective relationships with internal stakeholder and external service providers$$$%%%&&&Excellent written and verbal communication skills$$$%%%&&&Excellent written and verbal communication skills Strong computer skills with proficiency in Microsoft Office Suite and SAP R3 expertise in FI/CO/MM;;Established network of industry contacts within the offshore community$$$%%%&&&High level of attention to detail and arithmetic ability$$$%%%&&&Ability to build and maintain effective relationships with internal stakeholder and external service providers$$$%%%&&&Excellent written and verbal communication skills$$$%%%&&&Excellent written and verbal communication skills Strong computer skills with proficiency in Microsoft Office Suite and SAP R3 expertise in FI/CO/MM;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Preparing and maintaining project budgets, forecasts, cost reports, project expenditure, invoice summaries and payment schedules etc.$$$%%%&&&Managing and carrying out the receipt, attestation and payment of contractor invoices, and ensuring technical service entry approval.$$$%%%&&&Managing bank account transactions and cash reconciliation with treasury department.$$$%%%&&&Ensuring accruals are calculated and administered correctly.$$$%%%&&&Maintaining quality accounting information within the SAP system.$$$%%%&&&Maintaining and reporting cash flows and reporting all disbursements/expenses to project management$$$%%%&&&Preparing cost analyses of actual expenditures to project budget and forecast$$$%%%&&&Preparing monthly cash flow forecast updates for planning purposes$$$%%%&&&Assigning project codes to invoices and ensuring timely payment of invoices$$$%%%&&&Reviewing and analyzing costs, highlighting unfavorable variances and trends and assisting in identifying areas or items of concern$$$%%%&&&Monitoring the proper follow up on claims and back-charges$$$%%%&&&Preparing project reviews, participating in risk mitigation actions and estimates to complete$$$%%%&&&Coordinating and initiating project audits, assisting independent auditors with verifying costs and forecasts for project finance obligations$$$%%%&&&Ensuring corporate control processes and policies are adhered to
24;;;Engineering Degree;;Engineering Degree;P.Eng or development toward such;P.Eng or development toward such;;;;;; 3-Jul-12;Block 2926 Liwan Project;;An external network with the engineering, construction, and project management communities.;An external network with the engineering, construction, and project management communities.;;3 Years experience post graduation in an engineering or construction role$$$%%%&&&Demonstrated competencies in leadership and innovative thinking$$$%%%&&&Experience in resolving construction related issues that have commercial consequences;;3 Years experience post graduation in an engineering or construction role$$$%%%&&&Demonstrated competencies in leadership and innovative thinking$$$%%%&&&Experience in resolving construction related issues that have commercial consequences;;;;;;Singapore/China;;;;;;;;;;This individual’s key responsibility is to assist the MEG Scope Manager and the MEG Construction Lead in the delivery of the MEG Package within the overall scope of the Liwan Project. This will include but not be limited to input to the engineering design as well as the management of the fabrication vendor at site applying and incorporating the Liwan project procedures and systems of project management.;;Project Engineer - MEG Package;;;MEG Scope Manager;;No;;;;;;Claims negotiation$$$%%%&&&High I.T. literacy$$$%%%&&&Chinese and English language fluency;;Claims negotiation$$$%%%&&&High I.T. literacy$$$%%%&&&Chinese and English language fluency;;;;Frequently;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Participation in design reviews and safety studies such as HAZOPS$$$%%%&&&Commenting on engineering drawings within the Engineer’s qualifications and experience$$$%%%&&&Participation in constructability reviews$$$%%%&&&Management and support of key interface issues between the MEG package vendor and CNOOC/COOEC as directed by the MEG Scope Manager$$$%%%&&&Management and support of the Technical Query system as directed by the MEG Scope Manager$$$%%%&&&Site representation and management of the MEG package fabricator as directed by the Construction Lead$$$%%%&&&Resolution of fabrication yard on site queries, expediting actions and interfaces with relevant Husky engineering and project management departments during module fabrication at Bomesc in Tianjin$$$%%%&&&Coordination of preservation and commissioning activities with the vendor at Qingdao as directed by the MEG scope manager or Commissioning Manager$$$%%%&&&Expediting and resolution of module integration issues and actions at Qingdao as required$$$%%%&&&Interface with the Operations group regarding module start up and training$$$%%%&&&Support the module operation post start up in Shekou
25;;;A Bachelor's of Science in Engineering$$$%%%&&&A Master's Degree;A Master's Degree;A Bachelor's of Science in Engineering;A Professional Engineering status;;A Professional Engineering status;;;;; 3-Jul-12;Block 2926 Liwan Project;;A minimum of 15 years related industry experience;;A minimum of 15 years related industry experience;"A minimum of 5 years of working in a managament position in fabrication yards or physically offshore$$$%%%&&&A minimum of 5 years living and working outside of your ""home country""$$$%%%&&&Proven track record as project leader in an international offshore project environment$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution$$$%%%&&&Knowledge of up to date risk management practices$$$%%%&&&Familiarity working with ""gated"" execution processes";"Familiarity working with ""gated"" execution processes";"A minimum of 5 years of working in a managament position in fabrication yards or physically offshore$$$%%%&&&A minimum of 5 years living and working outside of your ""home country""$$$%%%&&&Proven track record as project leader in an international offshore project environment$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution$$$%%%&&&Knowledge of up to date risk management practices";;;;;;;;;;;;;;;;;;Senior Project Manager, Deepwater;;;Vice President, Liwan Project;;<Click to select>;;;;;;Strong commercial acumen and negotiating ability$$$%%%&&&Proven leadership, communication and teambuilding skills$$$%%%&&&Proven innovation skill$$$%%%&&&The ability to read and speak Mandarin$$$%%%&&&An external network within the engineering and construction community;The ability to read and speak Mandarin;Strong commercial acumen and negotiating ability$$$%%%&&&Proven leadership, communication and teambuilding skills$$$%%%&&&Proven innovation skill$$$%%%&&&An external network within the engineering and construction community;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Accountability for managing and delivering the facilities design aspects of a major international upstream offshore facilities project with capital budget approaching $3 Billion, within approved cost, schedule and Husky’s environmental and safety standards.$$$%%%&&&Delivering project on schedule and within approved budgets.$$$%%%&&&Recruiting any needed international offshore project expertise in line with the above strategy.$$$%%%&&&Identifying & selecting top quality engineering & construction firms for major and smaller projects.$$$%%%&&&Take an active leadership role in expanding project and risk management skills within our organization.$$$%%%&&&Championing HSE behaviors to provide top quartile performance within competitor peers.$$$%%%&&&Ensuring regulatory approvals are in place for design & construction activities.
26;;;A degree in engineering;;A degree in engineering;Designation as a Project Management Professional (PMP) or advanced project management degree or equivalent experience$$$%%%&&&A registered professional engineer;;Designation as a Project Management Professional (PMP) or advanced project management degree or equivalent experience$$$%%%&&&A registered professional engineer;;;;; 3-Jul-12;Block 29/26 Liwan Project;;Recent experience in offshore shallow water projects (50-200m)$$$%%%&&&Proven experience in gas processing and oil treating$$$%%%&&&Established network of industry contacts within the engineering and construction communities;Recent experience in offshore shallow water projects (50-200m)$$$%%%&&&Established network of industry contacts within the engineering and construction communities;Proven experience in gas processing and oil treating;A minimum of 20 years proven experience in project management and execution, preferably on a global basis$$$%%%&&&Strong commercial acumen and negotiating skills. Experience in a wide variety of contracting and execution strategies$$$%%%&&&Knowledge of up-to -date business processes and best practices as utilized on Major/ Mega Projects$$$%%%&&&Experience in presenting to executive audiences and Engineering, Procurement and Construction (EPC) contractors$$$%%%&&&Proven practical knowledge of current project management tools (cost management systems, scheduling, estimating, risk tools, etc.)$$$%%%&&&Proven track record of strong networking and relationships with Chinese government bodies i.e. CNOOC, CNPC, SINOPAC, etc.;;A minimum of 20 years proven experience in project management and execution, preferably on a global basis$$$%%%&&&Strong commercial acumen and negotiating skills. Experience in a wide variety of contracting and execution strategies$$$%%%&&&Knowledge of up-to -date business processes and best practices as utilized on Major/ Mega Projects$$$%%%&&&Experience in presenting to executive audiences and Engineering, Procurement and Construction (EPC) contractors$$$%%%&&&Proven practical knowledge of current project management tools (cost management systems, scheduling, estimating, risk tools, etc.)$$$%%%&&&Proven track record of strong networking and relationships with Chinese government bodies i.e. CNOOC, CNPC, SINOPAC, etc.;;;;;;;;;;;;;;;;;;Senior Project Manager - Shallow Water;;;Vice President, Liwan Project;;<Click to select>;;;;;;Effective technical writing skills$$$%%%&&&Excellent written and verbal communication skills$$$%%%&&&Proven leadership and team building skills$$$%%%&&&Strong non-authoritative leadership skills with the ability to influence others;;Effective technical writing skills$$$%%%&&&Excellent written and verbal communication skills$$$%%%&&&Proven leadership and team building skills$$$%%%&&&Strong non-authoritative leadership skills with the ability to influence others;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Providing input to the Shallow Water portion of the Liwan project to ensure project within approved budget, while minimizing risk$$$%%%&&&Working closely with CNOOC in identifying and selecting top quality engineering and construction firms for the Liwan 3-1 Project$$$%%%&&&Taking an active leadership role to expand project and risk management skills within our organization$$$%%%&&&Championing Health, Safety and Environment (HSE) behaviors to provide top quartile performance compared with peer companies$$$%%%&&&Providing input to the contracting strategy and detailed contracting plan for project execution$$$%%%&&&Providing input to project execution plan for project implementation$$$%%%&&&Fully supporting the business unit in terms of environmental studies and regulatory requirements$$$%%%&&&Confirming preferred vendors and approving all bidder lists on behalf of Husky for the shallow water project$$$%%%&&&Ensuring Value Improving Processes (VIP's) are appropriately utilized and the results incorporated in project designs and plans$$$%%%&&&Cost effectively managing all project costs with proper controls and ensuring that project documentation is controlled, managed and tracked$$$%%%&&&Ensuring appropriate technical, scope, cost estimate and management reviews/audits take place on a timely basis and findings are actioned$$$%%%&&&Controlling scope via effective change management process$$$%%%&&&Managing the project risks through development of risk registers including project, operations, business and event driven risks, assignment of risk owners, mitigating strategies and regularly reviewing the project risk profile with project stakeholders$$$%%%&&&Reporting and regularly communicating issues of critical importance to the Senior Project Manager$$$%%%&&&Approving CNOOC's staffing plans, budgets and, as appropriate, assisting with recruiting and readiness activities for project execution
27;;;Degree in chemical engineering$$$%%%&&&Master's or PhD degree in engineering;Master's or PhD degree in engineering;Degree in chemical engineering;Professional Engineering status;;Professional Engineering status;;;;; 3-Jul-12;Block 29/26 Liwan Project;;Hands-on transient thermal-hydraulic modelling / simulation work in the support of the design and operation of offshore facilities including: wells, pipelines, risers, separation and pressure-boosting equipment$$$%%%&&&A minimum of 3 years experience either working in fabrication yards or physically offshore.$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution.$$$%%%&&&Experience in Hydrate, paraffin and asphaltene control$$$%%%&&&Experience in Fluid property and phase behavior modeling$$$%%%&&&Experience in Steady state and transient multiphase flow modeling;;Hands-on transient thermal-hydraulic modelling / simulation work in the support of the design and operation of offshore facilities including: wells, pipelines, risers, separation and pressure-boosting equipment$$$%%%&&&A minimum of 3 years experience either working in fabrication yards or physically offshore.$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution.$$$%%%&&&Experience in Hydrate, paraffin and asphaltene control$$$%%%&&&Experience in Fluid property and phase behavior modeling$$$%%%&&&Experience in Steady state and transient multiphase flow modeling;"A minimum of 10 years experience in offshore flow assurance engineering and execution on a global basis.$$$%%%&&&Proven expertise and capabilities in conceptual design, front-end engineering design (FEED), Detailed Design and operation of offshore facilities.$$$%%%&&&Proven practical understanding of project and cost management principles and best practices.$$$%%%&&&Proven experience on all main project development phases and familiarity working with ""gated"" execution processes.$$$%%%&&&Proven experience in supporting project Commissioning, Start-up, and Shutdown Operations.$$$%%%&&&Proven track record as project leader in international offshore project environment.$$$%%%&&&A minimum of 3 years living and working outside the candidate's ""home country"".$$$%%%&&&Experience as Client representative on major offshore project$$$%%%&&&Familiarization of Local, National and International Standard and Codes.";;"A minimum of 10 years experience in offshore flow assurance engineering and execution on a global basis.$$$%%%&&&Proven expertise and capabilities in conceptual design, front-end engineering design (FEED), Detailed Design and operation of offshore facilities.$$$%%%&&&Proven practical understanding of project and cost management principles and best practices.$$$%%%&&&Proven experience on all main project development phases and familiarity working with ""gated"" execution processes.$$$%%%&&&Proven experience in supporting project Commissioning, Start-up, and Shutdown Operations.$$$%%%&&&Proven track record as project leader in international offshore project environment.$$$%%%&&&A minimum of 3 years living and working outside the candidate's ""home country"".$$$%%%&&&Experience as Client representative on major offshore project$$$%%%&&&Familiarization of Local, National and International Standard and Codes.";;;;;;;;;;;;;;;;;;Senior Staff Flow Assurance Engineer;;;Operations Superintendent - Liwan;;<Click to select>;;;;;;Strong knowledge of using Flow Assurance software such as Pipesim, OLGA, Multiflash, PVTSim). Other software skills like HYSYS and PRO II and other dynamic simulators such as FLOWMASTER$$$%%%&&&Proven leadership, communication and teambuilding skills.$$$%%%&&&Above average written and spoken English skills;;Strong knowledge of using Flow Assurance software such as Pipesim, OLGA, Multiflash, PVTSim). Other software skills like HYSYS and PRO II and other dynamic simulators such as FLOWMASTER$$$%%%&&&Proven leadership, communication and teambuilding skills.$$$%%%&&&Above average written and spoken English skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Manage, review and approve relevant FEED Contractor deliverables ensuring all deliverables meet applicable codes, standards and specifications as well as Husky policies regarding health, safety, environment and quality.$$$%%%&&&Execute flow assurance related engineering studies covering both steady state and dynamic simulations for different phases of Liwan offshore field development project.$$$%%%&&&Provide liaise/communicate/work with other disciplines and client representatives and be part of a project based engineering team.$$$%%%&&&Provide flow assurance input in terms of work scope preparation to project bids and consultancy work proposals.$$$%%%&&&Provide Flow Assurance engineering inputs to ensure Value Improving Processes (VIP's) are appropriately utilized and the results incorporated in the project designs and plans.$$$%%%&&&Ensure appropriate Flow Assurance engineering inputs to technical, scope, cost estimate and management reviews/audits and follow up on assigned actions.$$$%%%&&&Participating in process safety management, including hazard identification and HAZOP activities.$$$%%%&&&Advising on Flow Assurance issues in order to achieve maximum facility operability. Verifying and endorsing Flow Assurance simulations. Producing and keeping updated the project Design Basis.$$$%%%&&&Report and regularly communicate issues of critical importance to the Liwan Process and Flow Assurance Lead Engineer, Husky South East Asia.
28;;;;;;;;;;;;; 3-Jul-12;Block 29/26 Liwan Project;;;;;;;;;;;;;;;;;;;;;;;;;Senior Staff Flowline Engineer;;;Installation & Flowline Manager;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
29;;;;;;Professional Engineer recognized by APEGGA;;Professional Engineer recognized by APEGGA;;;;; 3-Jul-12;Block 29/26 Liwan Project;;Experience in drilling and completions, and well workover activities;Experience in drilling and completions, and well workover activities;;A minimum 5-10 years experience in production engineering$$$%%%&&&Knowledge of regulatory and licensing requirements$$$%%%&&&Understanding of the requirement and need for Management of Change$$$%%%&&&Have working knowledge of ERCB (AB) regulations and requirements;Understanding of the requirement and need for Management of Change;A minimum 5-10 years experience in production engineering$$$%%%&&&Knowledge of regulatory and licensing requirements$$$%%%&&&Have working knowledge of ERCB (AB) regulations and requirements;;;;;;;;;;;;;;;;;;Senior Staff Production Engineer;;;Operations Superintendent - Liwan;;<Click to select>;;;;;;Exhibit excellent interpersonal, communication and organizational skills and the ability to work in a team environment$$$%%%&&&Strong computer skills with proficiency in Microsoft Office applications;;Exhibit excellent interpersonal, communication and organizational skills and the ability to work in a team environment$$$%%%&&&Strong computer skills with proficiency in Microsoft Office applications;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Developing and executing opportunities to improve production and operating costs$$$%%%&&&Develop and implement a field production surveillance system to assist field engineers in the day to day optimization of wells and field production$$$%%%&&&In conjunction with the Facilities and Completion Engineers, formulating specific strategies for optimizing existing and building new facilities$$$%%%&&&Completing economic evaluations on major servicing, optimizations, well tie-ins and facility work$$$%%%&&&Supporting the needs of the field engineers and operations staff$$$%%%&&&Participating in well reviews and recommending appropriate action$$$%%%&&&Participating as a district team member in the planning of investment and development optimization strategies$$$%%%&&&Ensuring compliance with regulatory requirements$$$%%%&&&Reporting of production and op cost$$$%%%&&&Preparing of annual production and operating cost budgets and forecasts
30;;;Degree in engineering;;Degree in engineering;Professional Engineering status;;Professional Engineering status;;;;; 3-Jul-12;Block 29/26 Liwan Project;;A minimum of 1 years experience either working in fabrication yards or physically offshore$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution$$$%%%&&&Experience as Client representative on major pipeline project;Experience as Client representative on major pipeline project;A minimum of 1 years experience either working in fabrication yards or physically offshore$$$%%%&&&Knowledge of up to date business processes and best practices as utilized in international offshore project execution;"A minimum of 5 years experience in subsea trees engineering$$$%%%&&&An excellent, proven practical understanding of project and cost management principles and best practices$$$%%%&&&Familiarity working with ""gated"" execution processes$$$%%%&&&Proven track record as project leader in an international offshore pipeline project environment$$$%%%&&&Knowledge of up to date Risk Management practices$$$%%%&&&A minimum of 1 years living and working outside the candidate's ""home country""$$$%%%&&&Experience in a wide variety of contracting and execution strategies, negotiation, and commercial / economic evaluation";;"A minimum of 5 years experience in subsea trees engineering$$$%%%&&&An excellent, proven practical understanding of project and cost management principles and best practices$$$%%%&&&Familiarity working with ""gated"" execution processes$$$%%%&&&Proven track record as project leader in an international offshore pipeline project environment$$$%%%&&&Knowledge of up to date Risk Management practices$$$%%%&&&A minimum of 1 years living and working outside the candidate's ""home country""$$$%%%&&&Experience in a wide variety of contracting and execution strategies, negotiation, and commercial / economic evaluation";;;;;;;;;;;;;;;;The scope will include engineering, procurement and input to construction elements, meeting or exceeding corporate HSE targets. You will also provide expert input regarding risk identification and mitigation, contracting strategy, constructability, safety and environment, staffing, etc. Working closely with the Subsea Systems Lead Engineer, you will be delivering fit for purpose facilities within an approved budget, and will provide innovative strategies and solutions to maximize value for the company.;;Subsea Trees Package Lead Engineer;;;Senior Project Manager, Deepwater;;<Click to select>;;;;;;Strong commercial acumen and negotiating ability$$$%%%&&&Above average written and spoken English skills$$$%%%&&&Ability to read and speak Mandarin$$$%%%&&&An external network with the subsea engineering community;Ability to read and speak Mandarin$$$%%%&&&An external network with the subsea engineering community;Strong commercial acumen and negotiating ability$$$%%%&&&Above average written and spoken English skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;The Subsea Trees Engineer will be accountable for providing support to the Subsea Systems Lead Engineer for the design and procurement aspects of the subsea trees required for a major international upstream offshore facilities project with capital budget approaching $3 billion, within approved cost, schedule and Husky's environmental and safety standards.$$$%%%&&&Deliver project on schedule and within approved budgets.$$$%%%&&&Take an active role to expand project and risk management skills within our organization$$$%%%&&&Champion HSE behaviors to provide top quartile performance within competitor peers$$$%%%&&&Provide technical support to ensure regulatory approvals are in place for design & construction activities.
