;Date Revised:  (Select today’s date);Department: ;Location (city/site):;Position Title:;Reports To (Position):;Safety-Sensitive:;Title (and #) of Direct Reports:;POSITION SUMMARY:;responsabilities;CA;CA_REQD;CA_ASSET;CP;CP_REQD;CP_ASSET;ER;ER_REQD;ER_ASSET;EI;EI_REQD;EI_ASSET;TS;TS_REQD;TS_ASSET;competencies;competency_group;Bending/Crouching:;Climbing:;Driving:;Keyboarding:;Kneeling/Crawling:;On-call:;Operating equipment:;Sedentary/Sitting:;Shift work:;Travel:;Walking:;Manual tools:;Office equipment:;Pneumatic tools:;Power tools:;Shop tools:;Tool belt worn:;Vibration tools:;Welding:; Extreme heat/cold:;Chemicals:;Confined spaces:;Heights:;Moving equipment:;Night time:;Noise:;Outdoors:;Rotating equipment:;Toxic gases:;Uneven surfaces:;Wet or damp:;Light 11-20 pounds:;Medium 21-50 pounds:;Sedentary 0-10 pounds:;Carrying:;Lifting:;Pushing/pulling:;Standing:
62; 20-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;DPVR Senior Business Analyst;Supervisor, Upstream Business Solutions;No;;;"Identification, planning and coordination of day to day work efforts$$$%%%&&&Training and mentoring personnel utilizing the DPVR application and Corporate volumetric data$$$%%%&&&Provide assistance to the FDC Support Team when required$$$%%%&&&Support complex facility on PM Suite, assist in PM Suite upgrade testing$$$%%%&&&Back up for FDC Lead when absent$$$%%%&&&Annually set Team Goals with Supervisor and PAS Lead.$$$%%%&&&Ensure active and continuous progress is made on the projects and initiatives you are responsible for directly leading, or in your area of responsibility; monthly status to Supervisor$$$%%%&&&Working with Operations & Supervisor, prioritization of application bugs, enhancements & reports as logged in Husky Jira;$$$%%%&&&Project management of the DPVR application enhancements and upgrades$$$%%%&&&Support, training and assistance on DPVR$$$%%%&&&Direction of in-house solutions as they relate Volumetric Reporting, i.e. FDC Web Reports$$$%%%&&&Liaison with Upstream Accounting Leadership and Operations$$$%%%&&&Liaison with Husky IT";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63; 20-Sep-12;Enterprise Financial Solutions & Strategies ;Calgary, AB;FDC Business Analyst;Team Lead, Business Analyst;No;;;"Utilizing Husky’s best practices, maintain master file data and provide support to users within assigned areas of Medium to High complexity$$$%%%&&&Analysis of Field Data Capture data reported to Operations; Business Analysis & Report creation$$$%%%&&&Train users on all applications supported by the team. These include the Field Data Capture application suite of PVR, GFR, CNS, DI, In-house developed reporting tools and Web Reports.$$$%%%&&&Assist in undertaking detailed testing against any new upgrades for the applications listed above, including product enhancements and bug fixes.$$$%%%&&&Participate in Client Focus Group Meetings with Vendor.$$$%%%&&&Participate in Asset Reviews; traveling to field sites$$$%%%&&&Assist our Clients in clearly articulating their business requirements in order to analyze how we can meet those needs.  Preparation of product enhancement documents for team review and approval.$$$%%%&&&Liason with Husky ITM to develop, test & implement solutions$$$%%%&&&Write import scripts for DI$$$%%%&&&Provide resolutions to application challenges$$$%%%&&&Participate in or Lead Team/business initiatives$$$%%%&&&Daily interaction with Operations, BU & UA$$$%%%&&&Actively participate within the Asset Team to represent the field data capture business";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64; 20-Sep-12;Enterprise Financial Solutions & Strategies ;Calgary, AB;PAS Business Analyst;Team Lead, PAS Business Analyst;No;;;"Utilizing Husky’s best practices, maintain master file data and provide support to users within assigned area of medium to high complexity$$$%%%&&&Set up & maintenance of PAS Master Files; wells, facilities, measurement points$$$%%%&&&Train users on PAS$$$%%%&&&Assist in undertaking detailed regression testing against any new upgrades for PAS and PAS Tools$$$%%%&&&BA for development and testing of PAS and PAS Tools upgrades for enhancements$$$%%%&&&Participate in Asset Reviews; traveling to field sites$$$%%%&&&Capturing users business requirements and reviewing with Team in order to analyze how we can meet those needs.$$$%%%&&&Analysis of Regulatory and Royalty changes to ensure PAS will perform as per requirements$$$%%%&&&Provide resolutions/workarounds to application challenges to users$$$%%%&&&Log issues and resolutions in UBS Jira project$$$%%%&&&Log issues and resolution in CGI Jira, liason with vendor on resolutions$$$%%%&&&Participate or Lead in UA or HUBS initiatives$$$%%%&&&Participate as SME in Husky corporate projects";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Senior Business Analyst;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Senior Business Analyst, Midstream Accounting;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Senior Business Analyst, Reporting Standard & Dev;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68; 20-Sep-12;Enterprise Financial Solutions & Strategies ;Calgary, AB;Senior FDC Business Analyst;Team Lead, Business Analyst;No;;;"Utilizing Husky’s best practices, maintain master file data and provide support to users within assigned areas of Medium to High complexity$$$%%%&&&Analysis of Field Data Capture data reported to Operations; Business Analysis & Report creation$$$%%%&&&Train users on all applications supported by the team. These include the Field Data Capture application suite of PVR, GFR, CNS, DI, In-house developed reporting tools and Web Reports.$$$%%%&&&Assist in undertaking detailed testing against any new upgrades for the applications listed above, including product enhancements and bug fixes.$$$%%%&&&Participate in Client Focus Group Meetings with Vendor.$$$%%%&&&Participate in Asset Reviews; traveling to field sites$$$%%%&&&Assist our Clients in clearly articulating their business requirements in order to analyze how we can meet those needs.  Preparation of product enhancement documents for team review and approval.$$$%%%&&&Liason with Husky ITM to develop, test & implement solutions$$$%%%&&&Write import scripts for DI$$$%%%&&&Provide resolutions to application challenges$$$%%%&&&Participate in or Lead Team/business initiatives$$$%%%&&&Participate in Corporate Capital projects$$$%%%&&&Daily interaction with Operations, BU & UA$$$%%%&&&Actively participate within the Asset Team to represent the field data capture business$$$%%%&&&Training & mentoring other team members as required";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Senior Informations Delivery Analyst;Manager, Enterprise Financial Solutions & Strategies;No;;;Providing accurate and complete reporting and analyses for assigned areas of responsibility. Establishes practices for area of responsibility$$$%%%&&&Demonstrating effective leadership and challenging business processes and practices to ensure effective, complete, accurate and timely reporting$$$%%%&&&Leading the development of staff including training, performance appraisals, compensation and hiring recommendations and recruitment planning$$$%%%&&&Participating in the strategic planning and budgeting activities for the department$$$%%%&&&Ensuring the timely, accurate and high quality information flows smoothly to others$$$%%%&&&Participating in workgroups for various business systems and provide input to prioritization of initiatives. Providing input into IT capital budgeting and resource requirements for new developments$$$%%%&&&Leading business process reviews for the department and manage departmental technology or process improvement initiatives$$$%%%&&&Communicating issues and requirements to management and ensure appropriate and timely escalation of significant problems or material deficiencies;An undergraduate degree in Accounting, Business or Information Technology;An undergraduate degree in Accounting, Business or Information Technology;;A professional designation with CA, CMA, CGA or CPA would be an asset;;A professional designation with CA, CMA, CGA or CPA would be an asset;Minimum of 10 years' progressive experience in related accounting, IT or business analyst roles$$$%%%&&&Previous supervisory experience is a must$$$%%%&&&Experience in project management or systems implementation is necessary$$$%%%&&&Strong experience in designing or developing financial reporting and providing analysis of financial results;Minimum of 10 years' progressive experience in related accounting, IT or business analyst roles$$$%%%&&&Previous supervisory experience is a must$$$%%%&&&Experience in project management or systems implementation is necessary$$$%%%&&&Strong experience in designing or developing financial reporting and providing analysis of financial results;;Background in the Oil and Gas industry, preferably in Downstream/Midstream Accounting or IT support;Background in the Oil and Gas industry, preferably in Downstream/Midstream Accounting or IT support;;Developing and delivery training programs is an asset$$$%%%&&&Experience with a variety of accounting software and Microsoft Office Products (Word, Excel, Powerpoint, Access and Visio)$$$%%%&&&SAP experience as an advanced user of a Business Warehouse or Enterprise Resource Planning module is strongly preferred$$$%%%&&&Strong supervisory, analytical and accounting skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Ability to communicate effectively and work collaboratively with technical and business resources and communicate business requirements$$$%%%&&&Proven ability to lead, coach and develop a high-performance team$$$%%%&&&Exceptional skills in effectively managing changing priorities, duties and work schedule;Experience with a variety of accounting software and Microsoft Office Products (Word, Excel, Powerpoint, Access and Visio)$$$%%%&&&Strong supervisory, analytical and accounting skills in order to secure relevant information/data and identify key issues and relationships to determine appropriate course of action to rectify deficiencies$$$%%%&&&Ability to communicate effectively and work collaboratively with technical and business resources and communicate business requirements$$$%%%&&&Proven ability to lead, coach and develop a high-performance team$$$%%%&&&Exceptional skills in effectively managing changing priorities, duties and work schedule;Developing and delivery training programs is an asset$$$%%%&&&SAP experience as an advanced user of a Business Warehouse or Enterprise Resource Planning module is strongly preferred;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70; 20-Sep-12;Enterprise Financial Solutions & Strategies ;Calgary, AB;Senior PAS Business Analyst;Team Lead, PAS Business Analyst;No;;;"Utilizing Husky’s best practices, maintain master file data and provide support to users within assigned area of medium to high complexity$$$%%%&&&Set up & maintenance of PAS Master Files; wells, facilities, measurement points$$$%%%&&&Train users on PAS$$$%%%&&&Assist in undertaking detailed regression testing against any new upgrades for PAS and PAS Tools$$$%%%&&&BA for development and testing of PAS and PAS Tools upgrades for enhancements$$$%%%&&&Participate in Asset Reviews; traveling to field sites$$$%%%&&&Capturing users business requirements and reviewing with Team in order to analyze how we can meet those needs.$$$%%%&&&Analysis of Regulatory and Royalty changes to ensure PAS will perform as per requirements$$$%%%&&&Provide resolutions/workarounds to application challenges to users$$$%%%&&&Log issues and resolutions in UBS Jira project$$$%%%&&&Log issues and resolution in CGI Jira, liason with vendor on resolutions$$$%%%&&&Participate or Lead in UA or HUBS initiatives$$$%%%&&&Participate as SME in Husky corporate projects";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;SRA Support Specialist;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Supervisor, Upstream Accounting;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73; 20-Sep-12;Enterprise Financial Solutions & Startegies;Calgary, AB;Supervisor, Upstream Business Solutions;Manager, Enterprise Financial Solutions & Strategies;No;;;"Identification, planning and coordination of Monthly and Annual work efforts of the teams, ensuring effective utilization of team resources$$$%%%&&&Training and mentoring of direct reports$$$%%%&&&Performance reviews and carreer development with direct reports, review all non direct reports$$$%%%&&&Assess Team resource requirements & hire accordingly$$$%%%&&&Annually set Team Goals$$$%%%&&&Ensure active and continuous progress is made on the projects and initiatives within the responsibility of HUBS; monthly status follow up with direct reports and to UA & EFS Manager$$$%%%&&&Working with Team Leads & PA Leadership, prioritization of application bugs, enhancements & reports as logged in Husky Jira;$$$%%%&&&PAS Sustainment Board member representing Husky$$$%%%&&&Liaison with Upstream Accounting, EFS&S and Business Unit Leadership$$$%%%&&&Liaison with Husky IT; system changes, software vendor negotiations$$$%%%&&&Upstream Accounting representative for Husky ITM Capital Projects; requests, prioritization, Advisory committe member, support and release coordination$$$%%%&&&Participate in Husky Corporate projects as Advisory or Steering Committee member";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74; 20-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Team Lead, FDC Business Analyst;Supervisor, Upstream Business Solutions;No;;;"Identification, planning and coordination of day to day work effort of the team, ensuring effective utilization of team resources$$$%%%&&&Training and mentoring personnel under your direct lead$$$%%%&&&Team performance reviews$$$%%%&&&Manage (with Supervisor input) the hiring of new personnel for the FDC Support Team$$$%%%&&&Annually set Team Goals with Supervisor and PAS Lead.$$$%%%&&&Ensure active and continuous progress is made on the projects and initiatives you are responsible for directly leading, or in your area of responsibility; monthly status follow up with team members$$$%%%&&&Working with Operations & Supervisor, prioritization of application bugs, enhancements & reports as logged in Husky Jira;$$$%%%&&&Coordination of vacation schedule of team to ensure seamless property coverage$$$%%%&&&Project management of the FDC product suite utilized @ Husky and it’s related activities$$$%%%&&&Planning and implementation of FDC conversions to PM Suite$$$%%%&&&Support, training and assistance with the PM Suite$$$%%%&&&Direction of in-house solutions as they relate to PM Suite, and associated reporting$$$%%%&&&Liaison with Software Vendor – CGI and User Groups$$$%%%&&&Liaison with Upstream Accounting Leadership$$$%%%&&&Liasion with Husky IT";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75; 20-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Team Lead, Financial Services Group;Manager, Financial Solutions Centre;No;;;Work with manager to develop a strategic plan for department with clear linkages to Controllers' plan$$$%%%&&&Manage resources effectively within your group to maximize the groups' contribution and deliver superior results$$$%%%&&&Provide customer support for SAP accounting modules: Financial (FI), Controlling (CO), Joint Venture Accounting (JVA), Investment Management (IM), and Project Systems (PS). This includes managing client expectations with regards to work being requested, tracking and prioritization of problems/issues and ensuring resolution on a timely basis$$$%%%&&&Promote the use of business support process and make improvements as required$$$%%%&&&Coordinate administrative functions and integrated month end processes$$$%%%&&&Adhere to a governance model for maintenance of accounting related data hierarchies$$$%%%&&&Align accounting structures and data and financial reporting standards$$$%%%&&&Identify and implement process improvements for group$$$%%%&&&Support a project/program manager in managing changes to accounting structures$$$%%%&&&Provide expert input to business initiatives relevant to processes and reporting$$$%%%&&&Work in a team environment (with IT and Business Units), identify business requirements and develop and implement SAP system solutions$$$%%%&&&Ensure the development of training material and delivery of training for various modules under your team's responsibility;A Bachelor's Degree in Commerce with a major in Accounting or equivalent education and experience;A Bachelor's Degree in Commerce with a major in Accounting or equivalent education and experience;;A professional designation (i.e. CA, CMA, CGA);;A professional designation (i.e. CA, CMA, CGA);A minimum 3 years' experience in a similar SAP team lead or coordination role$$$%%%&&&Strong knowledge of SAP accounting applications and integration: Financial (FI), Controlling (CO), Joint Venture Accounting (JVA), Investment Management (IM), and Project Systems (PS);A minimum 3 years' experience in a similar SAP team lead or coordination role$$$%%%&&&Strong knowledge of SAP accounting applications and integration: Financial (FI), Controlling (CO), Joint Venture Accounting (JVA), Investment Management (IM), and Project Systems (PS);;A minimum 8 years' business experience preferably in the petroleum industry;A minimum 8 years' business experience preferably in the petroleum industry;;Strong knowledge of SAP reporting solutions (report writer, BW, SEM, etc.)$$$%%%&&&Proven business analytical skills and the ability to define business process and reporting requirements$$$%%%&&&Ability to facilitate change, challenge the status quo, and recognize the need for improvement$$$%%%&&&Good understanding of process control requirements$$$%%%&&&Exceptional organizational and communication skills (verbal, written)$$$%%%&&&Strong customer service orientation;Proven business analytical skills and the ability to define business process and reporting requirements$$$%%%&&&Ability to facilitate change, challenge the status quo, and recognize the need for improvement$$$%%%&&&Good understanding of process control requirements$$$%%%&&&Exceptional organizational and communication skills (verbal, written)$$$%%%&&&Strong customer service orientation;Strong knowledge of SAP reporting solutions (report writer, BW, SEM, etc.);Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Team Lead/ Supervisor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76; 23-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Team Lead, Information Delivery;Manager, Enterprise Financial Solutions & Strategies;No;;;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77; 20-Sep-12;Enterprise Financial Solutions & Strategies;Calgary, AB;Team Lead, PAS Business Analyst;Supervisor, Upstream Business Solutions;No;;;"Identification, planning and coordination of day to day work effort of the team, ensuring effective utilization of team resources$$$%%%&&&Training and mentoring personnel under thier direct lead$$$%%%&&&Team performance reviews$$$%%%&&&Provide assistance with the hiring of new personnel for the PAS Support Team$$$%%%&&&Annually set Team Goals with Supervisor and FDC Lead.$$$%%%&&&Ensure active and continuous progress is made on the projects and initiatives you are responsible for directly leading, or in your area of responsibility; monthly status follow up with team members$$$%%%&&&Working with PA Leadership, prioritization of application bugs, enhancements & reports as logged in Husky Jira;$$$%%%&&&Review of CGI bug prioritization with HUBS PAS Test Coordinator$$$%%%&&&Coordination of vacation schedule of team to ensure seamless property coverage$$$%%%&&&Project management of the PAS product suite utilized @ Husky (PAS, PAS Tools, PAS Wizard) and it’s related activities:$$$%%%&&&Planning and implementation of PA conversions to PAS$$$%%%&&&Support, training and assistance with the PAS Suite$$$%%%&&&Direction of web based solutions as they relate to PAS, and associated reporting$$$%%%&&&Liaison with Software Vendor – CGI and User Groups$$$%%%&&&Liaison with Upstream Accounting Leadership$$$%%%&&&Liaison with Husky IT";;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78; 23-Sep-12;Finance & Accounting Services;Calgary, AB;Accountant, Accounts Payable;Supervisor, Finance & Accounting Services;No;;;Prepare and post transactions AP, AR or Cash$$$%%%&&&Post general ledger interfaces$$$%%%&&&Manually input transaction data$$$%%%&&&Provide support to customers, vendors and internal inquiries$$$%%%&&&Prepare documents for posting and scanning$$$%%%&&&Follow up on outstanding receivable and payable issues$$$%%%&&&Reconcile general ledger or sub ledgers$$$%%%&&&Investigate missing transactions$$$%%%&&&Prepare routine accounting reports$$$%%%&&&Contribution of ideas for process improvement;Technical Institute or College Diploma would be an asset$$$%%%&&&CAPPA Production Accounting Diploma would be an asset;;Technical Institute or College Diploma would be an asset$$$%%%&&&CAPPA Production Accounting Diploma would be an asset;Professional Designation (CA, CMA, CGA) would be an asset;;Professional Designation (CA, CMA, CGA) would be an asset;AP and AR experience would be an asset;;AP and AR experience would be an asset;2 years industry experience would be an asset;;2 years industry experience would be an asset;Proficiency in Excel and Word$$$%%%&&&Knowledge and use of BW would be an asset$$$%%%&&&Proficiency in SAP would be an asset$$$%%%&&&Ability to work with multiple deadlines$$$%%%&&&Ability to work as a team player$$$%%%&&&Strong analytical skills and aptitude for problem solving$$$%%%&&&Excellent organizational, interpersonal and communication skills;Proficiency in Excel and Word$$$%%%&&&Ability to work with multiple deadlines$$$%%%&&&Ability to work as a team player$$$%%%&&&Strong analytical skills and aptitude for problem solving$$$%%%&&&Excellent organizational, interpersonal and communication skills;Knowledge and use of BW would be an asset$$$%%%&&&Proficiency in SAP would be an asset;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79; 27-Sep-12;Finance & Accounting Services;Calgary, AB;Accountant, Accounts Recievable;Supervisor, Finance & Accounting Services, Recievable Accounting;No;;;Prepare and post transactions AP, AR or Cash$$$%%%&&&Post general ledger interfaces$$$%%%&&&Manually input transaction data$$$%%%&&&Provide support to customers, vendors and internal inquiries$$$%%%&&&Prepare documents for posting and scanning$$$%%%&&&Follow up on outstanding receivable and payable issues$$$%%%&&&Reconcile general ledger or sub ledgers$$$%%%&&&Investigate missing transactions$$$%%%&&&Prepare routine accounting reports$$$%%%&&&Contribution of ideas for process improvement;Technical Institute or College Diploma would be an asset$$$%%%&&&CAPPA Production Accounting Diploma would be an asset;;Technical Institute or College Diploma would be an asset$$$%%%&&&CAPPA Production Accounting Diploma would be an asset;Professional Designation (CA, CMA, CGA) would be an asset;;Professional Designation (CA, CMA, CGA) would be an asset;AP and AR experience would be an asset;;AP and AR experience would be an asset;2 years industry experience would be an asset;;2 years industry experience would be an asset;Proficiency in Excel and Word$$$%%%&&&Knowledge and use of BW would be an asset$$$%%%&&&Proficiency in SAP would be an asset$$$%%%&&&Ability to work with multiple deadlines$$$%%%&&&Ability to work as a team player$$$%%%&&&Strong analytical skills and aptitude for problem solving$$$%%%&&&Excellent organizational, interpersonal and communication skills;Proficiency in Excel and Word$$$%%%&&&Ability to work with multiple deadlines$$$%%%&&&Ability to work as a team player$$$%%%&&&Strong analytical skills and aptitude for problem solving$$$%%%&&&Excellent organizational, interpersonal and communication skills;Knowledge and use of BW would be an asset$$$%%%&&&Proficiency in SAP would be an asset;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
